f_acidente;d_condicaometereologica
332298;Céu Claro
332299;Céu Claro
332300;Nublado
332301;Céu Claro
332303;Céu Claro
332304;Chuva
332305;Nublado
332306;Garoa/Chuvisco
332307;Céu Claro
332308;Céu Claro
332309;Céu Claro
332311;Céu Claro
332312;Chuva
332313;Céu Claro
332314;Garoa/Chuvisco
332315;Céu Claro
332316;Chuva
332317;Céu Claro
332318;Céu Claro
332320;Céu Claro
332321;Chuva
332322;Céu Claro
332323;Nublado
332324;Céu Claro
332325;Sol
332326;Ignorado
332327;Nublado
332328;Céu Claro
332329;Céu Claro
332330;Garoa/Chuvisco
332331;Céu Claro
332332;Nublado
332333;Céu Claro
332335;Nublado
332336;Céu Claro
332337;Nublado
332338;Céu Claro
332339;Nublado
332340;Nublado
332341;Chuva
332342;Céu Claro
332343;Céu Claro
332345;Céu Claro
332346;Céu Claro
332347;Nublado
332349;Céu Claro
332350;Chuva
332352;Céu Claro
332354;Céu Claro
332355;Nublado
332358;Céu Claro
332359;Céu Claro
332360;Céu Claro
332362;Chuva
332363;Nublado
332364;Nublado
332365;Céu Claro
332367;Garoa/Chuvisco
332368;Chuva
332369;Céu Claro
332370;Chuva
332371;Céu Claro
332374;Nublado
332376;Nublado
332377;Nublado
332378;Céu Claro
332380;Céu Claro
332381;Céu Claro
332382;Céu Claro
332383;Nevoeiro/Neblina
332385;Nublado
332386;Céu Claro
332387;Garoa/Chuvisco
332388;Céu Claro
332389;Nublado
332390;Céu Claro
332391;Céu Claro
332393;Nublado
332394;Céu Claro
332395;Céu Claro
332396;Nublado
332397;Céu Claro
332399;Nublado
332400;Céu Claro
332401;Sol
332403;Céu Claro
332404;Céu Claro
332405;Céu Claro
332407;Chuva
332408;Céu Claro
332409;Nublado
332410;Chuva
332414;Céu Claro
332415;Céu Claro
332416;Céu Claro
332417;Céu Claro
332418;Céu Claro
332419;Céu Claro
332421;Céu Claro
332422;Céu Claro
332423;Céu Claro
332424;Nublado
332425;Céu Claro
332426;Céu Claro
332427;Céu Claro
332428;Céu Claro
332429;Sol
332430;Céu Claro
332431;Sol
332432;Céu Claro
332433;Céu Claro
332434;Céu Claro
332435;Céu Claro
332436;Nublado
332437;Céu Claro
332438;Céu Claro
332439;Céu Claro
332440;Céu Claro
332442;Céu Claro
332443;Nublado
332446;Sol
332447;Céu Claro
332449;Nublado
332450;Céu Claro
332451;Céu Claro
332452;Céu Claro
332453;Céu Claro
332454;Céu Claro
332455;Céu Claro
332457;Céu Claro
332458;Céu Claro
332459;Nublado
332461;Céu Claro
332463;Céu Claro
332464;Céu Claro
332465;Céu Claro
332466;Nublado
332467;Céu Claro
332468;Nublado
332469;Céu Claro
332470;Céu Claro
332471;Nublado
332472;Céu Claro
332473;Nublado
332474;Céu Claro
332475;Nublado
332476;Céu Claro
332477;Céu Claro
332479;Sol
332480;Nublado
332481;Céu Claro
332482;Céu Claro
332483;Céu Claro
332484;Nublado
332485;Céu Claro
332486;Chuva
332488;Céu Claro
332490;Céu Claro
332492;Céu Claro
332495;Nublado
332496;Céu Claro
332497;Céu Claro
332498;Nublado
332499;Céu Claro
332500;Céu Claro
332501;Céu Claro
332502;Céu Claro
332503;Céu Claro
332504;Nublado
332505;Nublado
332506;Céu Claro
332507;Céu Claro
332508;Chuva
332509;Céu Claro
332511;Garoa/Chuvisco
332512;Nublado
332513;Céu Claro
332514;Céu Claro
332515;Céu Claro
332516;Chuva
332517;Céu Claro
332518;Nublado
332519;Céu Claro
332521;Nublado
332522;Chuva
332523;Céu Claro
332524;Nublado
332526;Céu Claro
332527;Nublado
332528;Céu Claro
332530;Céu Claro
332531;Céu Claro
332532;Céu Claro
332534;Chuva
332535;Sol
332536;Céu Claro
332538;Garoa/Chuvisco
332539;Céu Claro
332541;Céu Claro
332543;Chuva
332544;Nublado
332546;Céu Claro
332547;Garoa/Chuvisco
332548;Céu Claro
332549;Céu Claro
332550;Céu Claro
332551;Sol
332552;Nublado
332553;Céu Claro
332555;Nublado
332556;Céu Claro
332558;Céu Claro
332559;Céu Claro
332560;Céu Claro
332561;Céu Claro
332562;Nublado
332563;Céu Claro
332564;Nublado
332565;Sol
332566;Céu Claro
332567;Céu Claro
332568;Sol
332569;Céu Claro
332570;Céu Claro
332572;Nublado
332573;Céu Claro
332574;Céu Claro
332575;Céu Claro
332576;Céu Claro
332580;Nublado
332581;Sol
332582;Sol
332584;Céu Claro
332585;Céu Claro
332586;Nublado
332587;Nublado
332588;Céu Claro
332589;Céu Claro
332590;Chuva
332591;Céu Claro
332592;Chuva
332593;Céu Claro
332595;Nublado
332597;Céu Claro
332598;Céu Claro
332601;Céu Claro
332602;Céu Claro
332604;Sol
332605;Nublado
332606;Nublado
332607;Céu Claro
332608;Nublado
332609;Nublado
332610;Céu Claro
332612;Céu Claro
332613;Garoa/Chuvisco
332615;Céu Claro
332616;Chuva
332617;Nublado
332618;Céu Claro
332620;Sol
332621;Chuva
332623;Céu Claro
332624;Chuva
332627;Nublado
332629;Garoa/Chuvisco
332630;Chuva
332631;Nublado
332632;Céu Claro
332634;Chuva
332635;Chuva
332636;Nublado
332637;Nublado
332638;Céu Claro
332639;Nublado
332640;Céu Claro
332641;Céu Claro
332642;Céu Claro
332643;Céu Claro
332644;Céu Claro
332645;Chuva
332646;Céu Claro
332647;Garoa/Chuvisco
332648;Nublado
332649;Céu Claro
332651;Céu Claro
332652;Céu Claro
332653;Chuva
332654;Nublado
332655;Garoa/Chuvisco
332657;Céu Claro
332658;Céu Claro
332659;Nublado
332661;Céu Claro
332662;Nublado
332663;Céu Claro
332664;Nublado
332665;Céu Claro
332666;Vento
332668;Céu Claro
332670;Céu Claro
332671;Garoa/Chuvisco
332672;Chuva
332673;Céu Claro
332674;Chuva
332676;Nublado
332677;Céu Claro
332678;Céu Claro
332679;Nublado
332680;Céu Claro
332682;Céu Claro
332683;Céu Claro
332684;Nublado
332685;Garoa/Chuvisco
332686;Garoa/Chuvisco
332687;Nublado
332688;Chuva
332689;Chuva
332690;Ignorado
332691;Garoa/Chuvisco
332692;Céu Claro
332693;Chuva
332694;Céu Claro
332695;Sol
332696;Nublado
332697;Nublado
332699;Céu Claro
332700;Céu Claro
332701;Céu Claro
332703;Céu Claro
332704;Sol
332705;Céu Claro
332706;Garoa/Chuvisco
332707;Céu Claro
332708;Chuva
332710;Chuva
332711;Céu Claro
332716;Céu Claro
332717;Céu Claro
332718;Céu Claro
332719;Céu Claro
332720;Chuva
332721;Céu Claro
332722;Céu Claro
332723;Céu Claro
332724;Céu Claro
332725;Sol
332726;Céu Claro
332727;Céu Claro
332728;Garoa/Chuvisco
332729;Nublado
332730;Céu Claro
332732;Céu Claro
332734;Sol
332735;Sol
332737;Céu Claro
332738;Céu Claro
332739;Nublado
332740;Sol
332741;Céu Claro
332742;Nublado
332744;Céu Claro
332746;Céu Claro
332747;Céu Claro
332748;Sol
332749;Céu Claro
332750;Céu Claro
332751;Céu Claro
332752;Céu Claro
332754;Nublado
332755;Céu Claro
332756;Chuva
332758;Chuva
332759;Céu Claro
332760;Céu Claro
332762;Chuva
332763;Céu Claro
332765;Céu Claro
332766;Céu Claro
332768;Céu Claro
332769;Chuva
332770;Chuva
332771;Chuva
332772;Céu Claro
332773;Céu Claro
332774;Chuva
332775;Céu Claro
332776;Céu Claro
332777;Chuva
332778;Céu Claro
332779;Céu Claro
332780;Garoa/Chuvisco
332782;Céu Claro
332783;Chuva
332785;Nublado
332786;Nublado
332787;Céu Claro
332788;Nublado
332789;Chuva
332790;Céu Claro
332791;Céu Claro
332792;Sol
332793;Céu Claro
332796;Céu Claro
332797;Céu Claro
332798;Céu Claro
332800;Chuva
332801;Nublado
332802;Céu Claro
332803;Chuva
332804;Nublado
332805;Céu Claro
332806;Chuva
332807;Céu Claro
332808;Garoa/Chuvisco
332810;Nublado
332811;Céu Claro
332812;Céu Claro
332813;Céu Claro
332815;Céu Claro
332816;Céu Claro
332818;Céu Claro
332819;Céu Claro
332820;Chuva
332821;Céu Claro
332823;Céu Claro
332824;Nublado
332825;Nublado
332826;Céu Claro
332827;Céu Claro
332828;Nublado
332829;Chuva
332830;Nublado
332831;Chuva
332832;Céu Claro
332833;Chuva
332834;Chuva
332836;Céu Claro
332838;Céu Claro
332839;Nublado
332840;Céu Claro
332841;Nublado
332842;Céu Claro
332843;Nublado
332844;Céu Claro
332846;Nublado
332847;Céu Claro
332848;Céu Claro
332849;Céu Claro
332851;Céu Claro
332852;Nublado
332853;Nublado
332854;Nublado
332855;Céu Claro
332856;Nublado
332857;Nublado
332858;Nublado
332859;Nublado
332860;Céu Claro
332861;Nublado
332862;Céu Claro
332863;Chuva
332864;Céu Claro
332866;Céu Claro
332867;Sol
332868;Céu Claro
332869;Céu Claro
332870;Chuva
332871;Céu Claro
332872;Nublado
332873;Nublado
332874;Nublado
332875;Sol
332876;Céu Claro
332877;Céu Claro
332878;Céu Claro
332879;Céu Claro
332880;Sol
332881;Sol
332883;Céu Claro
332885;Céu Claro
332887;Céu Claro
332888;Sol
332889;Céu Claro
332890;Céu Claro
332891;Céu Claro
332892;Chuva
332893;Sol
332894;Céu Claro
332895;Céu Claro
332896;Céu Claro
332900;Céu Claro
332902;Céu Claro
332905;Céu Claro
332906;Nublado
332908;Céu Claro
332909;Céu Claro
332911;Céu Claro
332914;Nublado
332916;Chuva
332917;Céu Claro
332918;Nublado
332919;Céu Claro
332920;Sol
332921;Céu Claro
332922;Chuva
332923;Céu Claro
332924;Sol
332925;Céu Claro
332927;Sol
332928;Céu Claro
332929;Céu Claro
332930;Chuva
332931;Céu Claro
332932;Chuva
332933;Sol
332934;Céu Claro
332936;Céu Claro
332937;Céu Claro
332938;Chuva
332939;Nublado
332940;Chuva
332941;Sol
332942;Garoa/Chuvisco
332943;Chuva
332946;Nublado
332949;Céu Claro
332953;Nublado
332954;Céu Claro
332955;Céu Claro
332956;Nublado
332957;Chuva
332958;Céu Claro
332959;Garoa/Chuvisco
332960;Céu Claro
332963;Nublado
332964;Chuva
332965;Céu Claro
332966;Nublado
332967;Chuva
332968;Sol
332969;Garoa/Chuvisco
332971;Chuva
332972;Céu Claro
332974;Chuva
332976;Céu Claro
332977;Céu Claro
332978;Céu Claro
332980;Nublado
332981;Céu Claro
332984;Céu Claro
332985;Nublado
332986;Céu Claro
332987;Céu Claro
332988;Nublado
332989;Céu Claro
332990;Céu Claro
332991;Céu Claro
332992;Céu Claro
332993;Nublado
332994;Céu Claro
332995;Nublado
332996;Céu Claro
332997;Céu Claro
332998;Chuva
332999;Céu Claro
333000;Sol
333001;Chuva
333002;Céu Claro
333003;Nublado
333004;Céu Claro
333006;Céu Claro
333007;Céu Claro
333008;Céu Claro
333009;Chuva
333010;Céu Claro
333011;Céu Claro
333012;Céu Claro
333013;Nublado
333014;Chuva
333015;Chuva
333016;Céu Claro
333017;Céu Claro
333018;Chuva
333019;Nublado
333020;Chuva
333021;Nublado
333022;Chuva
333023;Céu Claro
333024;Céu Claro
333025;Céu Claro
333026;Céu Claro
333027;Nublado
333028;Nublado
333029;Céu Claro
333031;Céu Claro
333032;Céu Claro
333033;Chuva
333034;Chuva
333035;Chuva
333037;Chuva
333038;Nublado
333039;Nublado
333041;Céu Claro
333042;Nublado
333043;Céu Claro
333044;Céu Claro
333045;Céu Claro
333046;Céu Claro
333048;Nevoeiro/Neblina
333049;Nublado
333053;Céu Claro
333054;Céu Claro
333055;Céu Claro
333056;Céu Claro
333057;Céu Claro
333058;Céu Claro
333059;Chuva
333060;Nevoeiro/Neblina
333062;Céu Claro
333063;Céu Claro
333064;Céu Claro
333065;Nublado
333066;Sol
333067;Nublado
333069;Céu Claro
333073;Céu Claro
333074;Sol
333076;Céu Claro
333077;Céu Claro
333079;Céu Claro
333080;Sol
333081;Céu Claro
333082;Céu Claro
333083;Céu Claro
333085;Sol
333086;Céu Claro
333088;Nublado
333089;Céu Claro
333090;Céu Claro
333091;Céu Claro
333094;Nublado
333095;Céu Claro
333096;Céu Claro
333097;Céu Claro
333099;Céu Claro
333100;Céu Claro
333101;Céu Claro
333102;Céu Claro
333104;Céu Claro
333106;Céu Claro
333107;Nublado
333108;Nublado
333109;Sol
333110;Céu Claro
333111;Chuva
333112;Céu Claro
333113;Céu Claro
333114;Nublado
333115;Céu Claro
333116;Céu Claro
333118;Sol
333120;Nublado
333121;Sol
333122;Céu Claro
333123;Nublado
333124;Céu Claro
333126;Céu Claro
333129;Nublado
333130;Céu Claro
333131;Céu Claro
333132;Nublado
333133;Garoa/Chuvisco
333134;Céu Claro
333136;Céu Claro
333138;Chuva
333139;Céu Claro
333140;Sol
333144;Céu Claro
333145;Céu Claro
333146;Céu Claro
333147;Nublado
333148;Nublado
333150;Chuva
333151;Chuva
333152;Nublado
333153;Nublado
333154;Céu Claro
333155;Chuva
333156;Céu Claro
333157;Céu Claro
333158;Nublado
333159;Céu Claro
333160;Céu Claro
333161;Sol
333162;Céu Claro
333163;Chuva
333165;Céu Claro
333166;Céu Claro
333167;Céu Claro
333168;Chuva
333169;Garoa/Chuvisco
333170;Garoa/Chuvisco
333171;Céu Claro
333172;Chuva
