f_acidente;d_condicaometereologica
283154;Garoa/Chuvisco
283155;Céu Claro
283156;Céu Claro
283157;Garoa/Chuvisco
283158;Chuva
283159;Céu Claro
283161;Céu Claro
283162;Céu Claro
283165;Nublado
283166;Chuva
283168;Nublado
283169;Céu Claro
283170;Nublado
283171;Garoa/Chuvisco
283172;Céu Claro
283173;Céu Claro
283175;Nublado
283177;Céu Claro
283178;Chuva
283179;Céu Claro
283180;Ignorado
283181;Céu Claro
283182;Nublado
283183;Garoa/Chuvisco
283184;Chuva
283185;Céu Claro
283186;Céu Claro
283187;Céu Claro
283188;Nublado
283190;Chuva
283191;Céu Claro
283192;Céu Claro
283193;Nublado
283194;Nublado
283195;Nublado
283196;Nublado
283197;Chuva
283198;Céu Claro
283199;Céu Claro
283200;Céu Claro
283201;Nublado
283202;Garoa/Chuvisco
283203;Céu Claro
283204;Céu Claro
283205;Céu Claro
283206;Céu Claro
283207;Céu Claro
283208;Nublado
283209;Chuva
283210;Céu Claro
283211;Céu Claro
283212;Nublado
283213;Nublado
283214;Nublado
283215;Chuva
283216;Sol
283218;Chuva
283220;Céu Claro
283221;Céu Claro
283222;Nublado
283223;Céu Claro
283224;Chuva
283225;Céu Claro
283226;Céu Claro
283227;Chuva
283228;Sol
283229;Céu Claro
283230;Céu Claro
283231;Céu Claro
283233;Sol
283234;Céu Claro
283235;Céu Claro
283236;Garoa/Chuvisco
283237;Céu Claro
283238;Céu Claro
283239;Chuva
283240;Céu Claro
283241;Nublado
283242;Céu Claro
283243;Sol
283244;Nublado
283245;Céu Claro
283246;Garoa/Chuvisco
283247;Céu Claro
283248;Nublado
283249;Céu Claro
283250;Sol
283251;Sol
283252;Céu Claro
283253;Céu Claro
283255;Sol
283256;Céu Claro
283257;Céu Claro
283258;Nublado
283259;Garoa/Chuvisco
283260;Céu Claro
283261;Nublado
283262;Chuva
283263;Céu Claro
283264;Céu Claro
283265;Céu Claro
283266;Céu Claro
283267;Céu Claro
283268;Céu Claro
283269;Céu Claro
283270;Céu Claro
283271;Céu Claro
283272;Céu Claro
283273;Chuva
283274;Garoa/Chuvisco
283275;Céu Claro
283276;Nublado
283277;Nublado
283278;Céu Claro
283279;Chuva
283280;Céu Claro
283282;Chuva
283283;Céu Claro
283284;Céu Claro
283285;Céu Claro
283286;Céu Claro
283287;Céu Claro
283288;Céu Claro
283289;Céu Claro
283290;Céu Claro
283291;Céu Claro
283293;Chuva
283294;Céu Claro
283295;Nublado
283296;Céu Claro
283297;Chuva
283298;Nublado
283299;Céu Claro
283300;Céu Claro
283301;Céu Claro
283302;Céu Claro
283303;Nublado
283304;Sol
283305;Céu Claro
283306;Garoa/Chuvisco
283308;Céu Claro
283309;Céu Claro
283310;Nublado
283311;Céu Claro
283312;Céu Claro
283313;Céu Claro
283314;Céu Claro
283315;Chuva
283316;Nublado
283317;Céu Claro
283318;Céu Claro
283319;Céu Claro
283320;Céu Claro
283321;Céu Claro
283322;Nublado
283323;Nublado
283324;Chuva
283325;Céu Claro
283326;Céu Claro
283327;Céu Claro
283328;Céu Claro
283330;Céu Claro
283331;Céu Claro
283332;Céu Claro
283333;Céu Claro
283334;Céu Claro
283335;Céu Claro
283336;Céu Claro
283337;Céu Claro
283338;Céu Claro
283339;Céu Claro
283340;Nevoeiro/Neblina
283341;Chuva
283344;Céu Claro
283345;Céu Claro
283346;Nevoeiro/Neblina
283347;Céu Claro
283348;Céu Claro
283350;Céu Claro
283351;Céu Claro
283352;Nublado
283353;Céu Claro
283354;Céu Claro
283355;Céu Claro
283356;Céu Claro
283357;Céu Claro
283358;Céu Claro
283359;Céu Claro
283360;Nublado
283361;Céu Claro
283362;Céu Claro
283364;Céu Claro
283365;Céu Claro
283367;Céu Claro
283369;Nublado
283370;Céu Claro
283371;Chuva
283372;Sol
283373;Sol
283374;Sol
283375;Céu Claro
283376;Céu Claro
283377;Céu Claro
283378;Céu Claro
283379;Céu Claro
283380;Céu Claro
283381;Nublado
283382;Sol
283383;Nublado
283384;Nublado
283385;Céu Claro
283386;Nublado
283387;Céu Claro
283388;Sol
283389;Céu Claro
283390;Céu Claro
283392;Céu Claro
283393;Sol
283394;Céu Claro
283395;Sol
283396;Céu Claro
283397;Céu Claro
283398;Céu Claro
283399;Nublado
283400;Céu Claro
283401;Céu Claro
283403;Nublado
283404;Céu Claro
283405;Céu Claro
283406;Sol
283407;Sol
283408;Sol
283409;Nublado
283410;Céu Claro
283411;Céu Claro
283412;Sol
283413;Garoa/Chuvisco
283414;Sol
283415;Céu Claro
283416;Céu Claro
283417;Sol
283418;Nublado
283419;Céu Claro
283420;Céu Claro
283421;Céu Claro
283422;Céu Claro
283423;Céu Claro
283424;Céu Claro
283425;Céu Claro
283427;Céu Claro
283428;Céu Claro
283430;Nublado
283431;Céu Claro
283432;Céu Claro
283433;Nublado
283435;Nublado
283436;Nublado
283437;Nublado
283438;Céu Claro
283439;Céu Claro
283441;Nublado
283442;Céu Claro
283443;Nublado
283444;Nublado
283445;Céu Claro
283446;Céu Claro
283447;Céu Claro
283449;Céu Claro
283450;Céu Claro
283451;Nublado
283452;Céu Claro
283453;Céu Claro
283454;Céu Claro
283456;Céu Claro
283457;Céu Claro
283458;Vento
283459;Céu Claro
283460;Céu Claro
283461;Chuva
283462;Céu Claro
283463;Céu Claro
283464;Nublado
283465;Céu Claro
283466;Céu Claro
283467;Céu Claro
283468;Céu Claro
283469;Chuva
283470;Céu Claro
283471;Sol
283472;Sol
283473;Ignorado
283474;Céu Claro
283475;Céu Claro
283477;Céu Claro
283478;Céu Claro
283479;Garoa/Chuvisco
283480;Céu Claro
283481;Céu Claro
283482;Nublado
283483;Nublado
283484;Céu Claro
283485;Nublado
283486;Céu Claro
283487;Garoa/Chuvisco
283488;Céu Claro
283489;Céu Claro
283490;Céu Claro
283491;Nublado
283492;Céu Claro
283493;Nublado
283494;Nublado
283495;Nublado
283497;Céu Claro
283498;Chuva
283499;Céu Claro
283500;Céu Claro
283501;Céu Claro
283502;Céu Claro
283503;Nublado
283504;Céu Claro
283505;Céu Claro
283506;Nublado
283507;Céu Claro
283508;Céu Claro
283509;Céu Claro
283510;Nublado
283511;Céu Claro
283512;Céu Claro
283513;Céu Claro
283514;Nevoeiro/Neblina
283515;Nevoeiro/Neblina
283516;Céu Claro
283517;Céu Claro
283518;Céu Claro
283519;Céu Claro
283520;Nevoeiro/Neblina
283522;Céu Claro
283523;Céu Claro
283524;Céu Claro
283525;Nublado
283526;Céu Claro
283527;Céu Claro
283528;Nevoeiro/Neblina
283529;Nublado
283530;Céu Claro
283531;Garoa/Chuvisco
283532;Céu Claro
283533;Céu Claro
283534;Céu Claro
283535;Céu Claro
283536;Céu Claro
283537;Nublado
283538;Nublado
283539;Céu Claro
283540;Céu Claro
283541;Nublado
283542;Céu Claro
283543;Sol
283545;Sol
283546;Céu Claro
283548;Chuva
283549;Céu Claro
283550;Céu Claro
283551;Céu Claro
283552;Céu Claro
283553;Céu Claro
283554;Sol
283555;Céu Claro
283556;Céu Claro
283557;Céu Claro
283558;Céu Claro
283559;Céu Claro
283560;Sol
283561;Céu Claro
283562;Céu Claro
283563;Céu Claro
283564;Céu Claro
283565;Céu Claro
283566;Céu Claro
283567;Sol
283568;Céu Claro
283569;Céu Claro
283570;Céu Claro
283571;Céu Claro
283572;Nublado
283573;Céu Claro
283574;Céu Claro
283575;Céu Claro
283576;Céu Claro
283577;Céu Claro
283578;Céu Claro
283579;Céu Claro
283580;Sol
283581;Céu Claro
283582;Céu Claro
283583;Céu Claro
283584;Céu Claro
283585;Céu Claro
283586;Céu Claro
283587;Sol
283588;Céu Claro
283589;Céu Claro
283590;Céu Claro
283591;Céu Claro
283592;Céu Claro
283593;Céu Claro
283594;Céu Claro
283595;Céu Claro
283596;Céu Claro
283597;Céu Claro
283599;Céu Claro
283600;Céu Claro
283601;Sol
283602;Céu Claro
283603;Sol
283604;Céu Claro
283606;Céu Claro
283607;Sol
283608;Céu Claro
283609;Céu Claro
283611;Céu Claro
283613;Céu Claro
283614;Céu Claro
283615;Céu Claro
283616;Céu Claro
283617;Céu Claro
283618;Céu Claro
283620;Céu Claro
283621;Nublado
283622;Céu Claro
283623;Nublado
283624;Céu Claro
283625;Nublado
283626;Céu Claro
283627;Chuva
283628;Céu Claro
283629;Céu Claro
283630;Céu Claro
283631;Céu Claro
283632;Céu Claro
283633;Nublado
283634;Céu Claro
283635;Céu Claro
283636;Céu Claro
283637;Nublado
283638;Céu Claro
283639;Céu Claro
283640;Céu Claro
283641;Nublado
283642;Nublado
283643;Nublado
283644;Céu Claro
283645;Sol
283646;Céu Claro
283647;Céu Claro
283648;Céu Claro
283649;Céu Claro
283650;Céu Claro
283651;Céu Claro
283652;Céu Claro
283653;Ignorado
283654;Céu Claro
283655;Céu Claro
283656;Céu Claro
283657;Chuva
283659;Céu Claro
283660;Céu Claro
283662;Ignorado
283664;Céu Claro
283665;Ignorado
283666;Nublado
283667;Céu Claro
283668;Céu Claro
283669;Céu Claro
283670;Céu Claro
283671;Céu Claro
283672;Céu Claro
283673;Céu Claro
283674;Chuva
283675;Céu Claro
283676;Céu Claro
283678;Céu Claro
283679;Céu Claro
283680;Céu Claro
283681;Céu Claro
283682;Nublado
283683;Céu Claro
283684;Nublado
283685;Céu Claro
283686;Nublado
283687;Céu Claro
283688;Céu Claro
283689;Nublado
283691;Céu Claro
283693;Céu Claro
283694;Céu Claro
283695;Céu Claro
283696;Nublado
283698;Nublado
283699;Céu Claro
283700;Céu Claro
283701;Céu Claro
283703;Céu Claro
283704;Céu Claro
283705;Céu Claro
283706;Céu Claro
283707;Nublado
283709;Céu Claro
283710;Nublado
283711;Céu Claro
283712;Nublado
283713;Céu Claro
283714;Céu Claro
283715;Céu Claro
283716;Céu Claro
283717;Nublado
283718;Céu Claro
283719;Céu Claro
283720;Céu Claro
283721;Céu Claro
283722;Céu Claro
283724;Céu Claro
283725;Céu Claro
283726;Nevoeiro/Neblina
283728;Céu Claro
283729;Sol
283730;Céu Claro
283731;Nublado
283732;Céu Claro
283733;Céu Claro
283734;Céu Claro
283735;Nublado
283736;Céu Claro
283737;Céu Claro
283738;Sol
283739;Céu Claro
283740;Céu Claro
283741;Céu Claro
283742;Céu Claro
283743;Céu Claro
283744;Céu Claro
283745;Céu Claro
283746;Céu Claro
283749;Céu Claro
283750;Céu Claro
283751;Céu Claro
283752;Garoa/Chuvisco
283753;Nublado
283754;Céu Claro
283755;Céu Claro
283756;Chuva
283757;Sol
283758;Céu Claro
283759;Sol
283760;Sol
283761;Céu Claro
283762;Céu Claro
283764;Chuva
283765;Céu Claro
283766;Céu Claro
283767;Céu Claro
283768;Sol
283770;Céu Claro
283772;Céu Claro
283773;Céu Claro
283775;Céu Claro
283776;Céu Claro
283777;Céu Claro
283778;Nublado
283779;Céu Claro
283780;Céu Claro
283782;Céu Claro
283783;Céu Claro
283784;Sol
283785;Céu Claro
283786;Céu Claro
283787;Céu Claro
283788;Céu Claro
283789;Céu Claro
283790;Céu Claro
283791;Sol
283792;Céu Claro
283793;Céu Claro
283794;Céu Claro
283795;Céu Claro
283796;Chuva
283797;Céu Claro
283798;Céu Claro
283799;Céu Claro
283801;Céu Claro
283803;Céu Claro
283804;Céu Claro
283805;Céu Claro
283806;Céu Claro
283807;Chuva
283808;Céu Claro
283809;Céu Claro
283810;Céu Claro
283811;Nublado
283812;Sol
283813;Céu Claro
283814;Céu Claro
283815;Céu Claro
283816;Céu Claro
283817;Céu Claro
283818;Céu Claro
283819;Céu Claro
283820;Céu Claro
283821;Céu Claro
283822;Céu Claro
283823;Chuva
283824;Céu Claro
283825;Céu Claro
283826;Sol
283827;Céu Claro
283828;Nublado
283829;Nublado
283830;Céu Claro
283831;Garoa/Chuvisco
283832;Céu Claro
283833;Céu Claro
283834;Céu Claro
283835;Céu Claro
283836;Céu Claro
283837;Céu Claro
283839;Céu Claro
283840;Céu Claro
283841;Chuva
283842;Nublado
283843;Céu Claro
283844;Céu Claro
283845;Nublado
283846;Céu Claro
283847;Céu Claro
283848;Céu Claro
283849;Céu Claro
283850;Céu Claro
283851;Céu Claro
283853;Nublado
283854;Sol
283856;Céu Claro
283857;Céu Claro
283858;Céu Claro
283859;Nublado
283860;Céu Claro
283861;Céu Claro
283862;Céu Claro
283863;Céu Claro
283864;Céu Claro
283865;Chuva
283866;Céu Claro
283867;Céu Claro
283868;Céu Claro
283869;Céu Claro
283870;Céu Claro
283871;Céu Claro
283872;Céu Claro
283873;Céu Claro
283874;Nublado
283875;Céu Claro
283877;Céu Claro
283878;Céu Claro
283880;Céu Claro
283881;Céu Claro
283882;Céu Claro
283883;Céu Claro
283884;Céu Claro
283885;Céu Claro
283886;Céu Claro
283887;Céu Claro
283889;Chuva
283890;Céu Claro
283891;Nublado
283893;Céu Claro
283894;Nublado
283895;Céu Claro
283896;Céu Claro
283897;Céu Claro
283898;Céu Claro
283899;Sol
283900;Nevoeiro/Neblina
283901;Céu Claro
283902;Céu Claro
283903;Sol
283904;Céu Claro
283905;Céu Claro
283906;Sol
283907;Céu Claro
283908;Nevoeiro/Neblina
283909;Sol
283910;Sol
283911;Céu Claro
283912;Céu Claro
283913;Céu Claro
283914;Nublado
283915;Céu Claro
283916;Céu Claro
283918;Céu Claro
283920;Céu Claro
283921;Céu Claro
283924;Céu Claro
283925;Céu Claro
283927;Sol
283928;Nublado
283929;Sol
283930;Céu Claro
283931;Céu Claro
283932;Céu Claro
283933;Céu Claro
283936;Céu Claro
283937;Céu Claro
283938;Sol
283939;Céu Claro
283941;Céu Claro
283942;Céu Claro
283943;Céu Claro
283945;Céu Claro
283946;Céu Claro
283947;Sol
283948;Sol
283949;Céu Claro
283950;Sol
283951;Céu Claro
283952;Sol
283953;Céu Claro
283954;Céu Claro
283955;Céu Claro
283956;Céu Claro
283957;Céu Claro
283958;Nublado
283959;Céu Claro
283960;Céu Claro
283961;Céu Claro
283962;Céu Claro
283963;Céu Claro
283964;Céu Claro
283965;Sol
283966;Céu Claro
283967;Céu Claro
283968;Céu Claro
283969;Sol
283970;Ignorado
283972;Céu Claro
283974;Céu Claro
283975;Sol
283976;Céu Claro
283977;Céu Claro
283978;Céu Claro
283979;Céu Claro
283981;Céu Claro
283982;Céu Claro
283983;Céu Claro
283984;Nublado
283985;Céu Claro
283986;Garoa/Chuvisco
283987;Nublado
283988;Céu Claro
283989;Nublado
283990;Céu Claro
283991;Céu Claro
283992;Céu Claro
283993;Garoa/Chuvisco
283994;Céu Claro
283995;Céu Claro
283996;Céu Claro
283997;Garoa/Chuvisco
283998;Céu Claro
283999;Céu Claro
284000;Céu Claro
284001;Céu Claro
284002;Céu Claro
284003;Céu Claro
284004;Céu Claro
284005;Céu Claro
284006;Céu Claro
284007;Chuva
284008;Céu Claro
284009;Céu Claro
284010;Céu Claro
284011;Céu Claro
284013;Céu Claro
284014;Céu Claro
284015;Céu Claro
284016;Vento
284017;Céu Claro
284018;Céu Claro
284019;Céu Claro
284020;Nublado
284021;Sol
284023;Céu Claro
284024;Céu Claro
284025;Céu Claro
284026;Ignorado
284027;Nublado
284028;Chuva
284029;Céu Claro
284030;Céu Claro
284032;Céu Claro
284033;Céu Claro
284034;Chuva
284035;Nevoeiro/Neblina
284036;Nublado
284037;Chuva
284040;Céu Claro
284041;Sol
284042;Céu Claro
284043;Céu Claro
284045;Chuva
284046;Chuva
284047;Nublado
284048;Céu Claro
284049;Céu Claro
284051;Céu Claro
284052;Céu Claro
284053;Chuva
284054;Céu Claro
284055;Céu Claro
284056;Nublado
284057;Nublado
284058;Nublado
284059;Nublado
284060;Céu Claro
284061;Chuva
284063;Céu Claro
284064;Céu Claro
284065;Céu Claro
284066;Sol
284067;Céu Claro
284069;Chuva
284070;Nublado
284071;Chuva
284072;Céu Claro
284073;Céu Claro
284074;Céu Claro
284075;Sol
284076;Céu Claro
284077;Nublado
284079;Sol
284080;Céu Claro
284082;Chuva
284083;Chuva
284084;Céu Claro
284085;Céu Claro
284086;Nublado
284087;Céu Claro
284088;Céu Claro
284089;Céu Claro
284090;Céu Claro
284091;Nublado
284092;Chuva
284093;Nublado
284094;Sol
284096;Nublado
284097;Sol
284098;Sol
284099;Nublado
284101;Céu Claro
284102;Nublado
284103;Céu Claro
284104;Céu Claro
284106;Céu Claro
284107;Céu Claro
284108;Nublado
284110;Céu Claro
284111;Sol
284112;Céu Claro
284113;Céu Claro
284115;Chuva
284116;Céu Claro
284117;Céu Claro
284118;Céu Claro
284119;Nublado
284120;Céu Claro
284121;Céu Claro
284122;Chuva
284123;Nublado
284124;Céu Claro
284125;Nublado
284126;Céu Claro
284127;Chuva
284128;Céu Claro
284129;Céu Claro
284130;Céu Claro
284131;Nublado
284132;Nublado
284133;Céu Claro
284135;Céu Claro
284137;Céu Claro
284139;Céu Claro
284140;Céu Claro
284141;Nublado
284142;Nublado
284144;Céu Claro
284146;Céu Claro
284147;Garoa/Chuvisco
284148;Céu Claro
284149;Céu Claro
284150;Céu Claro
284151;Céu Claro
284152;Céu Claro
284153;Nublado
284154;Céu Claro
284155;Céu Claro
284156;Garoa/Chuvisco
284157;Nublado
284158;Céu Claro
284159;Céu Claro
284160;Céu Claro
284161;Céu Claro
284162;Céu Claro
284163;Céu Claro
284164;Nublado
284166;Céu Claro
284167;Céu Claro
284168;Nevoeiro/Neblina
284169;Nublado
284170;Céu Claro
284172;Nublado
284173;Nublado
284174;Chuva
284175;Chuva
284176;Nevoeiro/Neblina
284177;Céu Claro
284178;Céu Claro
284179;Chuva
284180;Céu Claro
284181;Céu Claro
284183;Nublado
284184;Céu Claro
284185;Nublado
284186;Garoa/Chuvisco
284187;Nublado
284188;Nevoeiro/Neblina
284189;Nublado
284191;Chuva
284192;Garoa/Chuvisco
284193;Sol
284194;Céu Claro
284196;Céu Claro
284197;Céu Claro
284198;Nublado
284199;Nublado
284200;Chuva
284201;Nevoeiro/Neblina
284202;Garoa/Chuvisco
284203;Céu Claro
284204;Sol
284205;Céu Claro
284206;Nublado
284208;Céu Claro
284209;Céu Claro
284210;Céu Claro
284211;Chuva
284212;Nublado
284213;Céu Claro
284214;Chuva
284215;Nublado
284216;Céu Claro
284217;Nublado
284218;Nublado
284219;Céu Claro
284220;Chuva
284221;Chuva
284222;Nublado
284223;Nublado
284224;Céu Claro
284225;Ignorado
284226;Nublado
284227;Céu Claro
284228;Nublado
284229;Céu Claro
284230;Céu Claro
284231;Céu Claro
284232;Sol
284233;Nublado
284234;Céu Claro
284235;Céu Claro
284236;Nublado
284238;Nublado
284239;Chuva
284240;Nublado
284241;Chuva
284242;Nublado
284243;Céu Claro
284244;Céu Claro
284245;Sol
284246;Céu Claro
284247;Céu Claro
284250;Nublado
284251;Chuva
284252;Céu Claro
284253;Nublado
284254;Céu Claro
284255;Nublado
284256;Céu Claro
284257;Céu Claro
284258;Nublado
284259;Céu Claro
284260;Céu Claro
284261;Céu Claro
284262;Céu Claro
284263;Nublado
284264;Nublado
284265;Céu Claro
284266;Chuva
284267;Nublado
284268;Garoa/Chuvisco
284269;Sol
284270;Céu Claro
284271;Céu Claro
284272;Céu Claro
284274;Nublado
284275;Céu Claro
284276;Céu Claro
284277;Chuva
284278;Nublado
284279;Chuva
284282;Sol
284283;Nublado
284284;Céu Claro
284287;Céu Claro
284288;Céu Claro
284289;Céu Claro
284290;Céu Claro
284292;Chuva
284293;Chuva
284294;Céu Claro
284295;Céu Claro
284296;Nublado
284297;Chuva
284298;Céu Claro
284299;Nublado
284300;Chuva
284301;Céu Claro
284302;Nublado
284304;Céu Claro
284305;Nublado
284307;Céu Claro
284308;Chuva
284309;Céu Claro
284310;Chuva
284312;Chuva
284313;Chuva
284314;Céu Claro
284316;Nublado
284319;Céu Claro
284320;Garoa/Chuvisco
284321;Céu Claro
284322;Céu Claro
284323;Céu Claro
284324;Nublado
284325;Chuva
284326;Nublado
284327;Chuva
284328;Céu Claro
284330;Céu Claro
284331;Céu Claro
284332;Céu Claro
284333;Chuva
284334;Nevoeiro/Neblina
284335;Garoa/Chuvisco
284336;Céu Claro
284337;Céu Claro
284338;Céu Claro
284339;Nublado
284340;Céu Claro
284341;Céu Claro
284342;Céu Claro
284344;Nublado
284345;Céu Claro
284346;Chuva
284347;Nublado
284348;Nublado
284349;Céu Claro
284350;Céu Claro
284351;Céu Claro
284352;Garoa/Chuvisco
284353;Céu Claro
284354;Nublado
284355;Céu Claro
284356;Céu Claro
284357;Nublado
284358;Céu Claro
284360;Nublado
284361;Céu Claro
284362;Céu Claro
284363;Garoa/Chuvisco
284364;Céu Claro
284365;Céu Claro
284366;Céu Claro
284367;Chuva
284368;Nublado
284369;Céu Claro
284370;Nublado
284371;Nublado
284372;Nublado
284373;Céu Claro
284375;Nublado
284376;Céu Claro
284377;Chuva
284379;Nublado
284380;Céu Claro
284382;Nublado
284383;Chuva
284385;Céu Claro
284388;Garoa/Chuvisco
284389;Céu Claro
284392;Chuva
284393;Céu Claro
284394;Céu Claro
284395;Nublado
284397;Céu Claro
284399;Céu Claro
284400;Céu Claro
284401;Céu Claro
284402;Nublado
284403;Céu Claro
284404;Céu Claro
284406;Céu Claro
284407;Céu Claro
284408;Nublado
284410;Chuva
284411;Chuva
284412;Garoa/Chuvisco
284414;Céu Claro
284415;Céu Claro
284417;Céu Claro
284418;Céu Claro
284420;Nublado
284421;Céu Claro
284422;Céu Claro
284423;Céu Claro
284424;Céu Claro
284426;Céu Claro
284427;Céu Claro
284428;Céu Claro
284429;Nublado
284430;Céu Claro
284431;Céu Claro
284432;Nublado
284435;Nublado
284436;Céu Claro
284438;Nublado
284439;Nublado
284440;Céu Claro
284441;Nublado
284442;Céu Claro
284443;Céu Claro
284444;Garoa/Chuvisco
284445;Garoa/Chuvisco
284447;Céu Claro
284448;Nublado
284450;Nublado
284451;Céu Claro
284453;Garoa/Chuvisco
284454;Céu Claro
284455;Chuva
284456;Garoa/Chuvisco
284457;Céu Claro
284458;Céu Claro
284459;Céu Claro
284460;Céu Claro
284461;Céu Claro
284462;Nublado
284464;Nublado
284465;Nublado
284466;Céu Claro
284467;Nublado
284468;Nublado
284469;Céu Claro
284470;Nublado
284474;Nublado
284476;Chuva
284477;Chuva
284478;Nublado
284479;Céu Claro
284480;Céu Claro
284481;Céu Claro
284482;Chuva
284483;Nublado
284484;Chuva
284486;Céu Claro
284487;Chuva
284488;Nublado
284489;Céu Claro
284490;Chuva
284491;Nublado
284492;Chuva
284493;Chuva
284494;Chuva
284495;Nublado
284496;Chuva
284497;Chuva
284498;Nublado
284499;Céu Claro
284500;Garoa/Chuvisco
284501;Nublado
284502;Nublado
284503;Céu Claro
284504;Céu Claro
284505;Céu Claro
284507;Céu Claro
284508;Céu Claro
284509;Céu Claro
284510;Chuva
284512;Sol
284513;Céu Claro
284514;Céu Claro
284515;Garoa/Chuvisco
284516;Céu Claro
284517;Céu Claro
284518;Chuva
284519;Garoa/Chuvisco
284520;Céu Claro
284521;Céu Claro
284522;Céu Claro
284523;Nublado
284524;Chuva
284525;Sol
284526;Céu Claro
284527;Garoa/Chuvisco
284528;Chuva
284530;Céu Claro
284531;Céu Claro
284532;Céu Claro
284533;Garoa/Chuvisco
284534;Céu Claro
284535;Chuva
284536;Céu Claro
284537;Céu Claro
284538;Céu Claro
284539;Céu Claro
284540;Garoa/Chuvisco
284541;Céu Claro
284542;Nublado
284543;Chuva
284544;Sol
284545;Céu Claro
284546;Chuva
284547;Ignorado
284548;Nublado
284549;Céu Claro
284550;Céu Claro
284551;Céu Claro
284552;Céu Claro
284553;Céu Claro
284555;Céu Claro
284556;Chuva
284558;Nublado
284559;Nublado
284560;Céu Claro
284561;Sol
284562;Nublado
284563;Céu Claro
284564;Céu Claro
284565;Chuva
284566;Céu Claro
284568;Chuva
284569;Ignorado
284570;Nublado
284571;Céu Claro
284573;Céu Claro
284574;Céu Claro
284575;Nublado
284576;Céu Claro
284577;Céu Claro
284578;Céu Claro
284579;Céu Claro
284580;Nublado
284581;Nublado
284583;Céu Claro
284584;Céu Claro
284585;Nublado
284586;Céu Claro
284587;Nublado
284588;Céu Claro
284589;Céu Claro
284591;Céu Claro
284593;Céu Claro
284594;Nublado
284595;Céu Claro
284596;Nublado
284597;Nublado
284598;Céu Claro
284599;Céu Claro
284600;Céu Claro
284601;Céu Claro
284602;Garoa/Chuvisco
284603;Céu Claro
284604;Nublado
284605;Chuva
284606;Céu Claro
284607;Nublado
284608;Garoa/Chuvisco
284609;Nublado
284610;Nublado
284611;Céu Claro
284612;Nublado
284613;Céu Claro
284614;Nublado
284615;Céu Claro
284616;Céu Claro
284617;Céu Claro
284618;Céu Claro
284619;Chuva
284620;Céu Claro
284621;Nublado
284622;Céu Claro
284623;Nublado
284624;Céu Claro
284625;Céu Claro
284626;Céu Claro
284627;Céu Claro
284628;Nublado
284629;Céu Claro
284631;Céu Claro
284632;Ignorado
284633;Céu Claro
284634;Chuva
284636;Céu Claro
284637;Céu Claro
284638;Céu Claro
284639;Céu Claro
284640;Céu Claro
284641;Céu Claro
284642;Céu Claro
284643;Nublado
284644;Nublado
284645;Nublado
284647;Chuva
284649;Céu Claro
284651;Céu Claro
284653;Céu Claro
284654;Céu Claro
284655;Sol
284656;Céu Claro
284658;Céu Claro
284659;Céu Claro
284660;Céu Claro
284661;Céu Claro
284663;Chuva
284664;Nublado
284665;Nublado
284666;Céu Claro
284668;Ignorado
284669;Céu Claro
284670;Céu Claro
284671;Céu Claro
284672;Céu Claro
284673;Céu Claro
284674;Chuva
284675;Céu Claro
284676;Céu Claro
284677;Nublado
284678;Nublado
284679;Céu Claro
284680;Chuva
284681;Céu Claro
284682;Céu Claro
284683;Céu Claro
284684;Céu Claro
284685;Céu Claro
284686;Céu Claro
284687;Nublado
284688;Céu Claro
284689;Céu Claro
284690;Nublado
284691;Céu Claro
284692;Céu Claro
284693;Garoa/Chuvisco
284697;Chuva
284698;Chuva
284699;Nublado
284700;Céu Claro
284701;Chuva
284702;Céu Claro
284703;Chuva
284704;Nublado
284705;Nublado
284706;Céu Claro
284707;Chuva
284708;Nublado
284709;Céu Claro
284710;Garoa/Chuvisco
284711;Céu Claro
284712;Céu Claro
284713;Céu Claro
284714;Céu Claro
284716;Chuva
284717;Nublado
284718;Nublado
284719;Céu Claro
284720;Chuva
284721;Chuva
284722;Chuva
284723;Céu Claro
284724;Garoa/Chuvisco
284726;Céu Claro
284727;Sol
284728;Céu Claro
284729;Chuva
284730;Nublado
284732;Céu Claro
284734;Céu Claro
284735;Céu Claro
284736;Céu Claro
284737;Nublado
284738;Nublado
284739;Céu Claro
284740;Céu Claro
284741;Céu Claro
284742;Chuva
284743;Nublado
284744;Céu Claro
284746;Céu Claro
284747;Céu Claro
284748;Céu Claro
284749;Céu Claro
284750;Céu Claro
284751;Céu Claro
284753;Céu Claro
284754;Céu Claro
284755;Céu Claro
284756;Céu Claro
284758;Céu Claro
284759;Céu Claro
284760;Ignorado
284761;Nublado
284762;Nublado
284763;Céu Claro
284764;Sol
284765;Céu Claro
284766;Céu Claro
284767;Chuva
284768;Sol
284770;Céu Claro
284771;Sol
284773;Chuva
284774;Céu Claro
284775;Céu Claro
284776;Céu Claro
284777;Céu Claro
284778;Chuva
284779;Céu Claro
284780;Céu Claro
284781;Céu Claro
284782;Chuva
284783;Céu Claro
284784;Céu Claro
284785;Céu Claro
284786;Céu Claro
284787;Céu Claro
284788;Céu Claro
284789;Nublado
284790;Chuva
284791;Sol
284792;Nublado
284793;Céu Claro
284794;Céu Claro
284795;Céu Claro
284796;Nublado
284797;Chuva
284798;Céu Claro
284799;Céu Claro
284800;Céu Claro
284801;Céu Claro
284802;Chuva
284803;Nublado
284804;Nublado
284805;Céu Claro
284806;Céu Claro
284808;Nublado
284809;Nublado
