f_acidente;d_classificacaoacidente
332214;Com Vítimas Feridas
332215;Com Vítimas Feridas
332216;Com Vítimas Feridas
332217;Sem Vítimas
332218;Com Vítimas Feridas
332220;Com Vítimas Feridas
332221;Sem Vítimas
332222;Com Vítimas Feridas
332223;Com Vítimas Feridas
332224;Com Vítimas Feridas
332225;Com Vítimas Feridas
332226;Com Vítimas Feridas
332227;Com Vítimas Fatais
332228;Sem Vítimas
332229;Com Vítimas Feridas
332230;Com Vítimas Feridas
332232;Com Vítimas Feridas
332233;Sem Vítimas
332235;Com Vítimas Feridas
332236;Com Vítimas Feridas
332237;Com Vítimas Feridas
332238;Com Vítimas Feridas
332239;Sem Vítimas
332240;Sem Vítimas
332242;Com Vítimas Feridas
332243;Com Vítimas Feridas
332244;Com Vítimas Feridas
332245;Com Vítimas Feridas
332247;Com Vítimas Feridas
332249;Com Vítimas Feridas
332250;Com Vítimas Fatais
332251;Com Vítimas Feridas
332252;Com Vítimas Feridas
332253;Com Vítimas Feridas
332254;Com Vítimas Feridas
332255;Com Vítimas Feridas
332256;Com Vítimas Feridas
332257;Com Vítimas Feridas
332258;Com Vítimas Feridas
332259;Sem Vítimas
332260;Com Vítimas Feridas
332261;Com Vítimas Feridas
332262;Com Vítimas Feridas
332263;Com Vítimas Feridas
332264;Com Vítimas Feridas
332265;Com Vítimas Feridas
332266;Com Vítimas Feridas
332267;Com Vítimas Feridas
332268;Com Vítimas Feridas
332269;Sem Vítimas
332270;Sem Vítimas
332271;Com Vítimas Feridas
332273;Com Vítimas Feridas
332274;Sem Vítimas
332275;Com Vítimas Fatais
332276;Com Vítimas Feridas
332277;Com Vítimas Feridas
332278;Com Vítimas Feridas
332279;Com Vítimas Feridas
332280;Com Vítimas Feridas
332281;Com Vítimas Feridas
332282;Com Vítimas Feridas
332283;Com Vítimas Feridas
332284;Com Vítimas Fatais
332285;Sem Vítimas
332286;Com Vítimas Feridas
332287;Sem Vítimas
332288;Com Vítimas Feridas
332289;Com Vítimas Feridas
332290;Com Vítimas Feridas
332291;Com Vítimas Feridas
332292;Com Vítimas Feridas
332293;Com Vítimas Feridas
332294;Com Vítimas Feridas
332295;Com Vítimas Feridas
332296;Com Vítimas Feridas
332297;Com Vítimas Feridas
332298;Com Vítimas Feridas
332299;Com Vítimas Feridas
332300;Com Vítimas Feridas
332301;Com Vítimas Feridas
332303;Com Vítimas Feridas
332304;Com Vítimas Feridas
332305;Com Vítimas Feridas
332306;Com Vítimas Feridas
332307;Com Vítimas Fatais
332308;Com Vítimas Feridas
332309;Com Vítimas Feridas
332311;Com Vítimas Feridas
332312;Com Vítimas Feridas
332313;Com Vítimas Feridas
332314;Sem Vítimas
332315;Com Vítimas Feridas
332316;Com Vítimas Feridas
332317;Com Vítimas Fatais
332318;Com Vítimas Feridas
332320;Com Vítimas Feridas
332321;Com Vítimas Feridas
332322;Sem Vítimas
332323;Com Vítimas Feridas
332324;Com Vítimas Feridas
332325;Com Vítimas Feridas
332326;Com Vítimas Feridas
332327;Com Vítimas Feridas
332328;Sem Vítimas
332329;Com Vítimas Feridas
332330;Com Vítimas Feridas
332331;Com Vítimas Feridas
332332;Com Vítimas Feridas
332333;Com Vítimas Fatais
332335;Com Vítimas Feridas
332336;Sem Vítimas
332337;Com Vítimas Feridas
332338;Com Vítimas Feridas
332339;Sem Vítimas
332340;Com Vítimas Feridas
332341;Com Vítimas Feridas
332342;Com Vítimas Feridas
332343;Sem Vítimas
332345;Sem Vítimas
332346;Com Vítimas Feridas
332347;Com Vítimas Feridas
332349;Com Vítimas Feridas
332350;Com Vítimas Feridas
332352;Com Vítimas Fatais
332354;Sem Vítimas
332355;Com Vítimas Feridas
332358;Com Vítimas Feridas
332359;Sem Vítimas
332360;Com Vítimas Feridas
332362;Com Vítimas Feridas
332363;Sem Vítimas
332364;Sem Vítimas
332365;Com Vítimas Feridas
332367;Sem Vítimas
332368;Com Vítimas Feridas
332369;Com Vítimas Feridas
332370;Sem Vítimas
332371;Com Vítimas Feridas
332374;Com Vítimas Feridas
332376;Com Vítimas Feridas
332377;Com Vítimas Feridas
332378;Com Vítimas Feridas
332380;Com Vítimas Feridas
332381;Com Vítimas Feridas
332382;Com Vítimas Feridas
332383;Com Vítimas Feridas
332385;Com Vítimas Feridas
332386;Com Vítimas Feridas
332387;Com Vítimas Fatais
332388;Com Vítimas Feridas
332389;Sem Vítimas
332390;Com Vítimas Feridas
332391;Com Vítimas Feridas
332393;Com Vítimas Feridas
332394;Com Vítimas Feridas
332395;Com Vítimas Feridas
332396;Com Vítimas Feridas
332397;Com Vítimas Feridas
332399;Com Vítimas Feridas
332400;Com Vítimas Fatais
332401;Com Vítimas Feridas
332403;Com Vítimas Feridas
332404;Com Vítimas Fatais
332405;Com Vítimas Feridas
332407;Com Vítimas Feridas
332408;Com Vítimas Feridas
332409;Com Vítimas Feridas
332410;Com Vítimas Feridas
332414;Com Vítimas Feridas
332415;Com Vítimas Feridas
332416;Com Vítimas Feridas
332417;Com Vítimas Feridas
332418;Com Vítimas Feridas
332419;Com Vítimas Feridas
332421;Com Vítimas Feridas
332422;Com Vítimas Feridas
332423;Sem Vítimas
332424;Com Vítimas Feridas
332425;Com Vítimas Feridas
332426;Com Vítimas Feridas
332427;Com Vítimas Feridas
332428;Com Vítimas Feridas
332429;Com Vítimas Feridas
332430;Com Vítimas Feridas
332431;Com Vítimas Feridas
332432;Com Vítimas Feridas
332433;Sem Vítimas
332434;Com Vítimas Feridas
332435;Sem Vítimas
332436;Com Vítimas Feridas
332437;Com Vítimas Feridas
332438;Com Vítimas Feridas
332439;Com Vítimas Feridas
332440;Com Vítimas Feridas
332442;Com Vítimas Feridas
332443;Com Vítimas Feridas
332446;Com Vítimas Feridas
332447;Com Vítimas Feridas
332449;Sem Vítimas
332450;Com Vítimas Feridas
332451;Com Vítimas Feridas
332452;Com Vítimas Feridas
332453;Sem Vítimas
332454;Sem Vítimas
332455;Sem Vítimas
332457;Com Vítimas Feridas
332458;Sem Vítimas
332459;Com Vítimas Fatais
332461;Com Vítimas Feridas
332463;Com Vítimas Feridas
332464;Com Vítimas Fatais
332465;Com Vítimas Feridas
332466;Com Vítimas Fatais
332467;Com Vítimas Feridas
332468;Com Vítimas Feridas
332469;Com Vítimas Feridas
332470;Com Vítimas Feridas
332471;Sem Vítimas
332472;Com Vítimas Feridas
332473;Com Vítimas Feridas
332474;Com Vítimas Feridas
332475;Com Vítimas Feridas
332476;Com Vítimas Feridas
332477;Com Vítimas Feridas
332479;Com Vítimas Fatais
332480;Com Vítimas Feridas
332481;Com Vítimas Feridas
332482;Com Vítimas Feridas
332483;Sem Vítimas
332484;Com Vítimas Feridas
332485;Com Vítimas Feridas
332486;Com Vítimas Feridas
332488;Com Vítimas Feridas
332490;Com Vítimas Feridas
332492;Com Vítimas Feridas
332495;Com Vítimas Feridas
332496;Com Vítimas Feridas
332497;Com Vítimas Feridas
332498;Com Vítimas Fatais
332499;Com Vítimas Feridas
332500;Com Vítimas Feridas
332501;Com Vítimas Feridas
332502;Com Vítimas Fatais
332503;Com Vítimas Feridas
332504;Sem Vítimas
332505;Sem Vítimas
332506;Com Vítimas Feridas
332507;Com Vítimas Feridas
332508;Com Vítimas Feridas
332509;Sem Vítimas
332511;Com Vítimas Feridas
332512;Com Vítimas Feridas
332513;Com Vítimas Fatais
332514;Com Vítimas Feridas
332515;Com Vítimas Feridas
332516;Com Vítimas Fatais
332517;Com Vítimas Feridas
332518;Sem Vítimas
332519;Sem Vítimas
332521;Com Vítimas Feridas
332522;Com Vítimas Feridas
332523;Com Vítimas Feridas
332524;Sem Vítimas
332526;Sem Vítimas
332527;Com Vítimas Fatais
332528;Com Vítimas Feridas
332530;Com Vítimas Feridas
332531;Com Vítimas Feridas
332532;Com Vítimas Feridas
332534;Com Vítimas Feridas
332535;Com Vítimas Feridas
332536;Com Vítimas Feridas
332538;Com Vítimas Feridas
332539;Sem Vítimas
332541;Com Vítimas Feridas
332543;Com Vítimas Feridas
332544;Sem Vítimas
332546;Sem Vítimas
332547;Com Vítimas Feridas
332548;Com Vítimas Feridas
332549;Com Vítimas Feridas
332550;Sem Vítimas
332551;Sem Vítimas
332552;Com Vítimas Feridas
332553;Com Vítimas Feridas
332555;Com Vítimas Feridas
332556;Com Vítimas Feridas
332558;Com Vítimas Feridas
332559;Com Vítimas Feridas
332560;Com Vítimas Fatais
332561;Com Vítimas Feridas
332562;Com Vítimas Feridas
332563;Com Vítimas Feridas
332564;Sem Vítimas
332565;Com Vítimas Feridas
332566;Com Vítimas Feridas
332567;Com Vítimas Feridas
332568;Com Vítimas Feridas
332569;Com Vítimas Feridas
332570;Com Vítimas Feridas
332572;Com Vítimas Feridas
332573;Com Vítimas Feridas
332574;Com Vítimas Feridas
332575;Com Vítimas Feridas
332576;Com Vítimas Feridas
332580;Com Vítimas Feridas
332581;Sem Vítimas
332582;Com Vítimas Feridas
332584;Com Vítimas Feridas
332585;Com Vítimas Feridas
332586;Com Vítimas Feridas
332587;Com Vítimas Feridas
332588;Com Vítimas Feridas
332589;Com Vítimas Feridas
332590;Com Vítimas Feridas
332591;Com Vítimas Feridas
