f_acidente;d_classificacaoacidente
280354;Com Vítimas Feridas
280355;Com Vítimas Feridas
280357;Com Vítimas Feridas
280360;Com Vítimas Feridas
280361;Com Vítimas Feridas
280362;Com Vítimas Feridas
280363;Com Vítimas Feridas
280364;Com Vítimas Feridas
280366;Com Vítimas Feridas
280368;Sem Vítimas
280369;Com Vítimas Feridas
280370;Com Vítimas Fatais
280371;Com Vítimas Fatais
280372;Com Vítimas Feridas
280373;Com Vítimas Feridas
280374;Com Vítimas Feridas
280375;Com Vítimas Feridas
280376;Com Vítimas Feridas
280377;Com Vítimas Fatais
280378;Com Vítimas Feridas
280379;Com Vítimas Feridas
280380;Com Vítimas Fatais
280381;Com Vítimas Feridas
280382;Com Vítimas Fatais
280383;Com Vítimas Feridas
280384;Com Vítimas Feridas
280385;Com Vítimas Feridas
280386;Com Vítimas Feridas
280388;Sem Vítimas
280389;Com Vítimas Fatais
280391;Sem Vítimas
280392;Sem Vítimas
280393;Com Vítimas Feridas
280394;Sem Vítimas
280395;Com Vítimas Feridas
280396;Sem Vítimas
280399;Com Vítimas Feridas
280400;Com Vítimas Feridas
280401;Sem Vítimas
280402;Com Vítimas Feridas
280403;Com Vítimas Feridas
280404;Com Vítimas Feridas
280405;Com Vítimas Feridas
280406;Com Vítimas Feridas
280407;Com Vítimas Feridas
280408;Com Vítimas Feridas
280409;Com Vítimas Feridas
280410;Com Vítimas Feridas
280411;Com Vítimas Feridas
280412;Com Vítimas Feridas
280413;Com Vítimas Feridas
280414;Sem Vítimas
280415;Com Vítimas Feridas
280416;Com Vítimas Fatais
280417;Com Vítimas Feridas
280418;Com Vítimas Feridas
280419;Com Vítimas Feridas
280420;Com Vítimas Feridas
280421;Com Vítimas Feridas
280422;Com Vítimas Feridas
280423;Com Vítimas Feridas
280424;Com Vítimas Feridas
280425;Com Vítimas Feridas
280427;Com Vítimas Feridas
280428;Com Vítimas Feridas
280429;Com Vítimas Feridas
280430;Com Vítimas Feridas
280431;Sem Vítimas
280432;Com Vítimas Feridas
280433;Com Vítimas Fatais
280434;Sem Vítimas
280435;Com Vítimas Feridas
280436;Com Vítimas Feridas
280437;Com Vítimas Feridas
280438;Com Vítimas Feridas
280439;Com Vítimas Fatais
280440;Com Vítimas Fatais
280441;Com Vítimas Fatais
280442;Com Vítimas Feridas
280443;Com Vítimas Fatais
280444;Com Vítimas Feridas
280445;Com Vítimas Feridas
280446;Com Vítimas Feridas
280447;Com Vítimas Feridas
280448;Com Vítimas Feridas
280449;Sem Vítimas
280450;Com Vítimas Feridas
280451;Sem Vítimas
280452;Com Vítimas Fatais
280453;Sem Vítimas
280454;Com Vítimas Feridas
280455;Sem Vítimas
280456;Com Vítimas Feridas
280458;Com Vítimas Feridas
280459;Com Vítimas Feridas
280460;Com Vítimas Feridas
280461;Com Vítimas Feridas
280462;Sem Vítimas
280463;Com Vítimas Feridas
280464;Sem Vítimas
280465;Sem Vítimas
280466;Com Vítimas Feridas
280467;Com Vítimas Feridas
280468;Com Vítimas Feridas
280469;Sem Vítimas
280470;Com Vítimas Feridas
280471;Sem Vítimas
280472;Com Vítimas Fatais
280473;Com Vítimas Fatais
280474;Sem Vítimas
280475;Com Vítimas Feridas
280476;Com Vítimas Feridas
280478;Com Vítimas Feridas
280479;Com Vítimas Feridas
280480;Com Vítimas Feridas
280481;Com Vítimas Feridas
280482;Com Vítimas Feridas
280483;Com Vítimas Feridas
280484;Sem Vítimas
280485;Com Vítimas Feridas
280486;Sem Vítimas
280487;Sem Vítimas
280488;Com Vítimas Feridas
280489;Com Vítimas Feridas
280490;Com Vítimas Feridas
280491;Com Vítimas Feridas
280492;Com Vítimas Feridas
280493;Com Vítimas Feridas
280494;Com Vítimas Fatais
280495;Com Vítimas Feridas
280497;Sem Vítimas
280498;Com Vítimas Feridas
280499;Com Vítimas Feridas
280500;Com Vítimas Feridas
280501;Com Vítimas Feridas
280502;Com Vítimas Fatais
280503;Com Vítimas Feridas
280504;Com Vítimas Feridas
280505;Sem Vítimas
280506;Com Vítimas Feridas
280507;Com Vítimas Feridas
280508;Com Vítimas Feridas
280510;Com Vítimas Feridas
280511;Com Vítimas Feridas
280512;Com Vítimas Feridas
280513;Com Vítimas Feridas
280514;Sem Vítimas
280515;Com Vítimas Feridas
280516;Com Vítimas Fatais
280519;Com Vítimas Fatais
280520;Com Vítimas Feridas
280521;Com Vítimas Feridas
280522;Com Vítimas Feridas
280523;Com Vítimas Feridas
280524;Com Vítimas Feridas
280525;Com Vítimas Feridas
280526;Com Vítimas Feridas
280527;Com Vítimas Feridas
280528;Sem Vítimas
280529;Sem Vítimas
280530;Com Vítimas Feridas
280531;Com Vítimas Feridas
280532;Com Vítimas Feridas
280534;Com Vítimas Feridas
280535;Com Vítimas Feridas
280536;Com Vítimas Feridas
280537;Com Vítimas Feridas
280538;Com Vítimas Feridas
280539;Sem Vítimas
280540;Com Vítimas Feridas
280541;Com Vítimas Feridas
280542;Com Vítimas Feridas
280543;Com Vítimas Feridas
280544;Com Vítimas Feridas
280548;Com Vítimas Feridas
280550;Com Vítimas Feridas
280551;Com Vítimas Feridas
280552;Com Vítimas Feridas
280553;Com Vítimas Feridas
280554;Com Vítimas Feridas
280555;Com Vítimas Feridas
280556;Com Vítimas Fatais
280557;Com Vítimas Feridas
280558;Com Vítimas Feridas
280560;Sem Vítimas
280561;Com Vítimas Fatais
280562;Com Vítimas Feridas
280563;Com Vítimas Feridas
280564;Com Vítimas Feridas
280565;Com Vítimas Feridas
280566;Com Vítimas Feridas
280567;Com Vítimas Feridas
280568;Sem Vítimas
280570;Com Vítimas Feridas
280571;Com Vítimas Feridas
280572;Com Vítimas Feridas
280574;Com Vítimas Feridas
280576;Com Vítimas Feridas
280578;Com Vítimas Feridas
280579;Com Vítimas Feridas
280580;Com Vítimas Feridas
280581;Com Vítimas Fatais
280582;Com Vítimas Feridas
280583;Com Vítimas Feridas
280584;Sem Vítimas
280586;Com Vítimas Feridas
280588;Sem Vítimas
280589;Com Vítimas Feridas
280590;Com Vítimas Fatais
280591;Com Vítimas Feridas
280593;Com Vítimas Feridas
280594;Com Vítimas Feridas
280595;Com Vítimas Feridas
280596;Com Vítimas Feridas
280597;Com Vítimas Fatais
280599;Sem Vítimas
280600;Com Vítimas Feridas
280601;Com Vítimas Feridas
280602;Com Vítimas Feridas
280603;Com Vítimas Fatais
280604;Com Vítimas Feridas
280606;Com Vítimas Fatais
280607;Com Vítimas Feridas
280608;Com Vítimas Fatais
280609;Sem Vítimas
280611;Sem Vítimas
280612;Com Vítimas Feridas
280613;Sem Vítimas
280614;Com Vítimas Fatais
280615;Com Vítimas Feridas
280616;Com Vítimas Feridas
280617;Com Vítimas Feridas
280618;Sem Vítimas
280619;Com Vítimas Fatais
280620;Com Vítimas Feridas
280621;Sem Vítimas
280622;Com Vítimas Feridas
280623;Com Vítimas Feridas
280624;Com Vítimas Fatais
280625;Com Vítimas Feridas
280626;Com Vítimas Fatais
280629;Com Vítimas Feridas
280630;Sem Vítimas
280632;Com Vítimas Feridas
280633;Sem Vítimas
280634;Sem Vítimas
280635;Com Vítimas Feridas
280639;Com Vítimas Feridas
280640;Com Vítimas Feridas
280641;Com Vítimas Fatais
280642;Com Vítimas Fatais
280643;Sem Vítimas
280646;Sem Vítimas
280647;Com Vítimas Feridas
280648;Com Vítimas Feridas
280649;Com Vítimas Feridas
280650;Com Vítimas Feridas
280651;Com Vítimas Feridas
280653;Com Vítimas Feridas
280654;Sem Vítimas
280655;Com Vítimas Feridas
280656;Com Vítimas Feridas
280657;Com Vítimas Feridas
280658;Com Vítimas Feridas
280659;Com Vítimas Feridas
280660;Com Vítimas Feridas
280661;Com Vítimas Feridas
280662;Com Vítimas Feridas
280663;Com Vítimas Feridas
280664;Com Vítimas Fatais
280665;Com Vítimas Feridas
280666;Com Vítimas Feridas
280667;Sem Vítimas
280668;Sem Vítimas
280670;Com Vítimas Feridas
280671;Com Vítimas Feridas
280672;Com Vítimas Feridas
280673;Com Vítimas Feridas
280674;Com Vítimas Feridas
280675;Com Vítimas Feridas
280676;Com Vítimas Feridas
280678;Com Vítimas Feridas
280679;Com Vítimas Feridas
280680;Com Vítimas Feridas
280681;Com Vítimas Feridas
280682;Com Vítimas Feridas
280683;Com Vítimas Feridas
280684;Com Vítimas Feridas
280685;Com Vítimas Feridas
280686;Com Vítimas Feridas
280687;Com Vítimas Feridas
280688;Com Vítimas Feridas
280689;Com Vítimas Feridas
280690;Com Vítimas Feridas
280691;Sem Vítimas
280692;Com Vítimas Feridas
280694;Com Vítimas Feridas
280695;Com Vítimas Feridas
280696;Com Vítimas Feridas
280697;Com Vítimas Feridas
280698;Com Vítimas Feridas
280699;Com Vítimas Feridas
280701;Com Vítimas Feridas
280702;Com Vítimas Feridas
280703;Com Vítimas Feridas
280704;Com Vítimas Feridas
280705;Com Vítimas Feridas
280706;Com Vítimas Feridas
280707;Com Vítimas Feridas
280708;Com Vítimas Feridas
280709;Sem Vítimas
280710;Com Vítimas Feridas
280711;Com Vítimas Feridas
280712;Com Vítimas Feridas
280713;Sem Vítimas
280714;Com Vítimas Feridas
280715;Com Vítimas Feridas
280717;Com Vítimas Feridas
280718;Com Vítimas Feridas
280719;Com Vítimas Feridas
280720;Com Vítimas Feridas
280721;Com Vítimas Feridas
280722;Com Vítimas Feridas
280723;Com Vítimas Feridas
280725;Com Vítimas Feridas
280726;Com Vítimas Feridas
280727;Com Vítimas Feridas
280728;Com Vítimas Feridas
280731;Com Vítimas Feridas
280732;Com Vítimas Feridas
280733;Com Vítimas Feridas
280734;Com Vítimas Feridas
280735;Com Vítimas Feridas
280736;Com Vítimas Feridas
280737;Com Vítimas Feridas
280738;Com Vítimas Fatais
280739;Com Vítimas Feridas
280740;Com Vítimas Feridas
280741;Com Vítimas Feridas
280742;Com Vítimas Feridas
280743;Com Vítimas Feridas
280744;Com Vítimas Fatais
280745;Com Vítimas Fatais
280746;Sem Vítimas
280747;Com Vítimas Feridas
280748;Com Vítimas Feridas
280749;Com Vítimas Feridas
280750;Sem Vítimas
280751;Com Vítimas Feridas
280753;Com Vítimas Feridas
280754;Sem Vítimas
280755;Com Vítimas Feridas
280756;Com Vítimas Feridas
280757;Com Vítimas Feridas
280758;Com Vítimas Feridas
280759;Com Vítimas Feridas
280760;Com Vítimas Feridas
280761;Com Vítimas Feridas
280762;Com Vítimas Feridas
280766;Sem Vítimas
280767;Com Vítimas Feridas
280768;Com Vítimas Feridas
280769;Com Vítimas Feridas
280770;Sem Vítimas
280771;Com Vítimas Feridas
280772;Com Vítimas Feridas
280773;Com Vítimas Feridas
280774;Com Vítimas Feridas
280775;Com Vítimas Feridas
280776;Com Vítimas Feridas
280777;Com Vítimas Feridas
280778;Sem Vítimas
280780;Sem Vítimas
280782;Sem Vítimas
280783;Com Vítimas Feridas
280784;Com Vítimas Feridas
280785;Com Vítimas Feridas
280786;Com Vítimas Feridas
280787;Sem Vítimas
280789;Com Vítimas Feridas
280790;Com Vítimas Feridas
280791;Com Vítimas Feridas
280792;Com Vítimas Feridas
280793;Com Vítimas Feridas
280794;Sem Vítimas
280795;Com Vítimas Feridas
280796;Com Vítimas Feridas
280797;Com Vítimas Feridas
280799;Com Vítimas Feridas
280800;Com Vítimas Feridas
280801;Com Vítimas Feridas
280802;Com Vítimas Feridas
280803;Com Vítimas Fatais
280804;Com Vítimas Feridas
280806;Com Vítimas Feridas
280807;Com Vítimas Feridas
280808;Com Vítimas Feridas
280809;Com Vítimas Fatais
280810;Sem Vítimas
280811;Com Vítimas Feridas
280812;Com Vítimas Feridas
280813;Com Vítimas Feridas
280814;Sem Vítimas
280815;Sem Vítimas
280816;Com Vítimas Feridas
280817;Com Vítimas Feridas
280818;Sem Vítimas
280819;Com Vítimas Feridas
280820;Com Vítimas Feridas
280821;Sem Vítimas
280822;Com Vítimas Feridas
280823;Com Vítimas Feridas
280824;Com Vítimas Feridas
280825;Com Vítimas Feridas
280826;Com Vítimas Feridas
280827;Sem Vítimas
280832;Sem Vítimas
280834;Com Vítimas Feridas
280835;Com Vítimas Feridas
280836;Com Vítimas Feridas
280837;Com Vítimas Feridas
280838;Sem Vítimas
280839;Com Vítimas Feridas
280841;Com Vítimas Feridas
280842;Com Vítimas Fatais
280843;Com Vítimas Fatais
280844;Com Vítimas Feridas
280845;Com Vítimas Fatais
280846;Com Vítimas Feridas
280849;Com Vítimas Feridas
280850;Com Vítimas Feridas
280851;Com Vítimas Feridas
280852;Com Vítimas Feridas
280854;Com Vítimas Feridas
280855;Com Vítimas Feridas
280857;Com Vítimas Feridas
280858;Com Vítimas Feridas
280859;Sem Vítimas
280860;Com Vítimas Feridas
280861;Com Vítimas Feridas
280862;Com Vítimas Fatais
280863;Com Vítimas Fatais
280865;Com Vítimas Feridas
280866;Com Vítimas Feridas
280867;Com Vítimas Feridas
280868;Com Vítimas Feridas
280869;Com Vítimas Feridas
280870;Com Vítimas Feridas
280872;Com Vítimas Feridas
280873;Com Vítimas Feridas
280875;Com Vítimas Fatais
280876;Sem Vítimas
280877;Com Vítimas Feridas
280878;Sem Vítimas
280879;Sem Vítimas
280880;Com Vítimas Fatais
280881;Com Vítimas Feridas
280882;Sem Vítimas
280883;Com Vítimas Feridas
280884;Com Vítimas Feridas
280885;Com Vítimas Feridas
280887;Com Vítimas Feridas
280888;Com Vítimas Feridas
280889;Com Vítimas Feridas
280890;Com Vítimas Feridas
280891;Sem Vítimas
280892;Com Vítimas Feridas
280893;Sem Vítimas
280894;Sem Vítimas
280896;Com Vítimas Feridas
280897;Com Vítimas Feridas
280898;Sem Vítimas
280899;Com Vítimas Feridas
280900;Com Vítimas Feridas
280902;Sem Vítimas
280903;Com Vítimas Feridas
280904;Com Vítimas Feridas
280905;Com Vítimas Feridas
280907;Sem Vítimas
280910;Com Vítimas Feridas
280911;Com Vítimas Feridas
280912;Com Vítimas Feridas
280913;Sem Vítimas
280914;Com Vítimas Feridas
280915;Com Vítimas Feridas
280916;Com Vítimas Feridas
280917;Sem Vítimas
280918;Com Vítimas Feridas
280919;Com Vítimas Feridas
280920;Sem Vítimas
280921;Com Vítimas Feridas
280922;Sem Vítimas
280924;Com Vítimas Feridas
280925;Com Vítimas Feridas
280926;Com Vítimas Feridas
280927;Sem Vítimas
280928;Com Vítimas Feridas
280929;Sem Vítimas
280930;Com Vítimas Feridas
280932;Com Vítimas Feridas
280933;Com Vítimas Feridas
280934;Com Vítimas Fatais
280935;Sem Vítimas
280936;Com Vítimas Feridas
280937;Com Vítimas Feridas
280938;Com Vítimas Feridas
280940;Com Vítimas Feridas
280941;Com Vítimas Feridas
280942;Sem Vítimas
280943;Sem Vítimas
280944;Com Vítimas Feridas
280945;Sem Vítimas
280946;Com Vítimas Fatais
280947;Com Vítimas Feridas
280948;Com Vítimas Feridas
280949;Com Vítimas Feridas
280950;Com Vítimas Feridas
280952;Com Vítimas Feridas
280953;Com Vítimas Feridas
280954;Com Vítimas Feridas
280957;Com Vítimas Fatais
280958;Sem Vítimas
280959;Com Vítimas Feridas
280960;Com Vítimas Feridas
280961;Com Vítimas Fatais
280962;Sem Vítimas
280963;Com Vítimas Feridas
280965;Com Vítimas Feridas
280966;Com Vítimas Feridas
280967;Com Vítimas Feridas
280968;Sem Vítimas
280969;Com Vítimas Feridas
280970;Sem Vítimas
280971;Com Vítimas Feridas
280972;Com Vítimas Feridas
280973;Sem Vítimas
280974;Com Vítimas Feridas
280975;Com Vítimas Feridas
280976;Com Vítimas Feridas
280977;Com Vítimas Feridas
280978;Com Vítimas Feridas
280979;Com Vítimas Feridas
280980;Com Vítimas Feridas
280981;Com Vítimas Feridas
280983;Com Vítimas Feridas
280984;Com Vítimas Feridas
280985;Sem Vítimas
280986;Com Vítimas Feridas
280987;Com Vítimas Feridas
280988;Com Vítimas Feridas
280989;Com Vítimas Feridas
280990;Com Vítimas Feridas
280992;Com Vítimas Feridas
280993;Com Vítimas Feridas
280995;Com Vítimas Feridas
280996;Com Vítimas Feridas
280997;Com Vítimas Feridas
280999;Com Vítimas Feridas
281000;Com Vítimas Feridas
281001;Com Vítimas Feridas
281002;Com Vítimas Feridas
281003;Sem Vítimas
281004;Com Vítimas Feridas
281005;Com Vítimas Fatais
281006;Com Vítimas Feridas
281008;Com Vítimas Feridas
281009;Com Vítimas Feridas
281010;Com Vítimas Feridas
281011;Sem Vítimas
281012;Com Vítimas Feridas
281013;Sem Vítimas
281014;Com Vítimas Feridas
281015;Com Vítimas Feridas
281016;Com Vítimas Feridas
281017;Sem Vítimas
281018;Com Vítimas Feridas
281020;Com Vítimas Feridas
281021;Sem Vítimas
281022;Com Vítimas Feridas
281023;Sem Vítimas
281024;Com Vítimas Feridas
281025;Com Vítimas Feridas
281026;Com Vítimas Feridas
281028;Com Vítimas Feridas
281029;Com Vítimas Fatais
281030;Com Vítimas Feridas
281031;Com Vítimas Feridas
281032;Com Vítimas Feridas
281033;Sem Vítimas
281034;Com Vítimas Feridas
281036;Com Vítimas Fatais
281037;Com Vítimas Feridas
281038;Com Vítimas Feridas
281039;Com Vítimas Feridas
281040;Sem Vítimas
281041;Com Vítimas Feridas
281042;Com Vítimas Feridas
281043;Com Vítimas Feridas
281044;Sem Vítimas
281045;Com Vítimas Feridas
281046;Com Vítimas Feridas
281047;Com Vítimas Feridas
281048;Com Vítimas Feridas
281049;Com Vítimas Feridas
281050;Com Vítimas Fatais
281051;Com Vítimas Feridas
281052;Com Vítimas Feridas
281053;Sem Vítimas
281054;Com Vítimas Feridas
281056;Com Vítimas Feridas
281057;Com Vítimas Feridas
281058;Sem Vítimas
281059;Sem Vítimas
281060;Com Vítimas Feridas
281061;Com Vítimas Feridas
281062;Sem Vítimas
281063;Com Vítimas Feridas
281064;Com Vítimas Feridas
281066;Com Vítimas Feridas
281067;Com Vítimas Feridas
281069;Com Vítimas Feridas
281070;Com Vítimas Feridas
281071;Com Vítimas Fatais
281072;Com Vítimas Feridas
281073;Com Vítimas Feridas
281075;Com Vítimas Feridas
281076;Com Vítimas Feridas
281077;Com Vítimas Feridas
281079;Com Vítimas Feridas
281080;Com Vítimas Feridas
281081;Com Vítimas Feridas
281082;Com Vítimas Feridas
281083;Com Vítimas Feridas
281084;Com Vítimas Feridas
281085;Com Vítimas Feridas
281086;Com Vítimas Feridas
281087;Sem Vítimas
281088;Com Vítimas Feridas
281089;Com Vítimas Feridas
281090;Com Vítimas Feridas
281092;Com Vítimas Feridas
281094;Com Vítimas Feridas
281095;Com Vítimas Feridas
281097;Com Vítimas Feridas
281098;Sem Vítimas
281099;Com Vítimas Feridas
281101;Com Vítimas Feridas
281102;Com Vítimas Feridas
281103;Com Vítimas Feridas
281104;Com Vítimas Feridas
281105;Sem Vítimas
281106;Com Vítimas Feridas
281107;Sem Vítimas
281108;Sem Vítimas
281109;Com Vítimas Feridas
281110;Com Vítimas Feridas
281111;Sem Vítimas
281112;Com Vítimas Feridas
281113;Com Vítimas Fatais
281114;Sem Vítimas
281116;Sem Vítimas
281117;Com Vítimas Feridas
281118;Com Vítimas Fatais
281119;Com Vítimas Feridas
281121;Com Vítimas Fatais
281122;Sem Vítimas
281124;Com Vítimas Feridas
281125;Sem Vítimas
281127;Com Vítimas Fatais
281128;Com Vítimas Feridas
281130;Sem Vítimas
281131;Com Vítimas Feridas
281132;Com Vítimas Feridas
281133;Sem Vítimas
281134;Com Vítimas Feridas
281135;Com Vítimas Feridas
281136;Sem Vítimas
281137;Com Vítimas Feridas
281139;Com Vítimas Feridas
281140;Com Vítimas Feridas
281141;Com Vítimas Feridas
281143;Com Vítimas Feridas
281145;Com Vítimas Feridas
281147;Com Vítimas Feridas
281149;Com Vítimas Feridas
281150;Com Vítimas Feridas
281151;Com Vítimas Feridas
281152;Sem Vítimas
281153;Sem Vítimas
281154;Sem Vítimas
281155;Sem Vítimas
281156;Com Vítimas Feridas
281157;Com Vítimas Feridas
281158;Com Vítimas Feridas
281159;Com Vítimas Feridas
281160;Sem Vítimas
281161;Com Vítimas Feridas
281162;Com Vítimas Fatais
281163;Com Vítimas Feridas
281164;Com Vítimas Feridas
281165;Com Vítimas Feridas
281166;Com Vítimas Feridas
281167;Com Vítimas Feridas
281168;Com Vítimas Feridas
281169;Com Vítimas Feridas
281170;Com Vítimas Feridas
281171;Com Vítimas Feridas
281172;Com Vítimas Feridas
281173;Com Vítimas Feridas
281174;Com Vítimas Feridas
281175;Com Vítimas Feridas
281177;Com Vítimas Feridas
281179;Sem Vítimas
281180;Com Vítimas Feridas
281181;Com Vítimas Feridas
281182;Com Vítimas Feridas
281184;Sem Vítimas
281185;Com Vítimas Feridas
281186;Com Vítimas Feridas
281187;Com Vítimas Feridas
281189;Com Vítimas Fatais
281190;Sem Vítimas
281191;Com Vítimas Feridas
281192;Com Vítimas Feridas
281193;Com Vítimas Feridas
281194;Com Vítimas Feridas
281195;Com Vítimas Feridas
281196;Com Vítimas Fatais
281197;Com Vítimas Feridas
281198;Com Vítimas Feridas
281199;Com Vítimas Feridas
281201;Com Vítimas Feridas
281204;Com Vítimas Feridas
281205;Sem Vítimas
281206;Com Vítimas Feridas
281207;Com Vítimas Feridas
281208;Com Vítimas Feridas
281210;Com Vítimas Feridas
281211;Com Vítimas Feridas
281212;Com Vítimas Feridas
281214;Com Vítimas Feridas
281215;Com Vítimas Feridas
281216;Com Vítimas Feridas
281217;Com Vítimas Feridas
281218;Com Vítimas Feridas
281219;Com Vítimas Feridas
281221;Com Vítimas Feridas
281224;Sem Vítimas
281225;Com Vítimas Feridas
281226;Com Vítimas Feridas
281227;Sem Vítimas
281228;Com Vítimas Feridas
281229;Com Vítimas Fatais
281231;Com Vítimas Feridas
281232;Com Vítimas Feridas
281233;Sem Vítimas
281234;Com Vítimas Feridas
281235;Com Vítimas Feridas
281236;Com Vítimas Fatais
281237;Com Vítimas Feridas
281238;Com Vítimas Feridas
281239;Com Vítimas Feridas
281240;Com Vítimas Feridas
281241;Com Vítimas Feridas
281242;Sem Vítimas
281243;Com Vítimas Feridas
281244;Com Vítimas Feridas
281245;Com Vítimas Feridas
281246;Sem Vítimas
281248;Com Vítimas Feridas
281249;Com Vítimas Feridas
281250;Com Vítimas Feridas
281252;Com Vítimas Feridas
281253;Com Vítimas Feridas
281254;Com Vítimas Feridas
281255;Com Vítimas Feridas
281256;Com Vítimas Feridas
281257;Com Vítimas Feridas
281258;Com Vítimas Feridas
281259;Com Vítimas Feridas
281260;Com Vítimas Feridas
281261;Sem Vítimas
281262;Com Vítimas Feridas
281263;Com Vítimas Feridas
281264;Com Vítimas Fatais
281265;Sem Vítimas
281267;Com Vítimas Feridas
281269;Com Vítimas Feridas
281270;Com Vítimas Feridas
281271;Com Vítimas Feridas
281272;Sem Vítimas
281273;Com Vítimas Feridas
281274;Com Vítimas Fatais
281275;Com Vítimas Feridas
281276;Com Vítimas Feridas
281278;Com Vítimas Feridas
281279;Com Vítimas Feridas
281280;Com Vítimas Feridas
281281;Com Vítimas Feridas
281283;Com Vítimas Feridas
281284;Com Vítimas Fatais
281285;Com Vítimas Feridas
281286;Com Vítimas Feridas
281287;Com Vítimas Feridas
281289;Com Vítimas Feridas
281290;Com Vítimas Feridas
281291;Com Vítimas Feridas
281292;Com Vítimas Fatais
281293;Com Vítimas Feridas
281294;Sem Vítimas
281295;Com Vítimas Feridas
281296;Com Vítimas Fatais
281297;Sem Vítimas
281299;Com Vítimas Feridas
281300;Com Vítimas Feridas
281301;Com Vítimas Feridas
281302;Sem Vítimas
281303;Com Vítimas Feridas
281304;Sem Vítimas
281305;Com Vítimas Feridas
281306;Sem Vítimas
281307;Sem Vítimas
281308;Com Vítimas Feridas
281309;Com Vítimas Fatais
281310;Sem Vítimas
281311;Com Vítimas Feridas
281312;Com Vítimas Fatais
281313;Sem Vítimas
281314;Com Vítimas Feridas
281315;Com Vítimas Feridas
281316;Com Vítimas Feridas
281317;Sem Vítimas
281319;Com Vítimas Feridas
281321;Com Vítimas Feridas
281322;Com Vítimas Fatais
281323;Sem Vítimas
281324;Com Vítimas Fatais
281325;Com Vítimas Feridas
281326;Com Vítimas Feridas
281327;Com Vítimas Feridas
281329;Com Vítimas Feridas
281330;Com Vítimas Fatais
281332;Com Vítimas Feridas
281333;Com Vítimas Feridas
281334;Com Vítimas Feridas
281335;Com Vítimas Feridas
281336;Com Vítimas Feridas
281337;Com Vítimas Feridas
281338;Com Vítimas Feridas
281339;Com Vítimas Feridas
281340;Com Vítimas Feridas
281341;Com Vítimas Feridas
281342;Com Vítimas Feridas
281343;Com Vítimas Fatais
281344;Com Vítimas Feridas
281345;Com Vítimas Feridas
281346;Com Vítimas Fatais
281347;Com Vítimas Fatais
281348;Sem Vítimas
281349;Sem Vítimas
281350;Com Vítimas Feridas
281351;Com Vítimas Feridas
281353;Com Vítimas Feridas
281354;Sem Vítimas
281355;Com Vítimas Feridas
281356;Com Vítimas Feridas
281357;Com Vítimas Feridas
281358;Com Vítimas Feridas
281359;Com Vítimas Feridas
281360;Com Vítimas Feridas
281361;Com Vítimas Feridas
281362;Com Vítimas Feridas
281363;Sem Vítimas
281364;Sem Vítimas
281366;Com Vítimas Feridas
281367;Com Vítimas Feridas
281369;Com Vítimas Feridas
281370;Com Vítimas Feridas
281371;Com Vítimas Feridas
281373;Com Vítimas Feridas
281374;Com Vítimas Feridas
281375;Sem Vítimas
281376;Sem Vítimas
281377;Com Vítimas Feridas
281378;Com Vítimas Feridas
281379;Com Vítimas Fatais
281380;Com Vítimas Feridas
281381;Sem Vítimas
281382;Com Vítimas Feridas
281383;Com Vítimas Feridas
281385;Com Vítimas Feridas
281388;Com Vítimas Feridas
281389;Com Vítimas Feridas
281390;Com Vítimas Feridas
281391;Com Vítimas Fatais
281392;Com Vítimas Feridas
281393;Com Vítimas Feridas
281394;Com Vítimas Feridas
281395;Com Vítimas Feridas
281396;Com Vítimas Feridas
281397;Com Vítimas Feridas
281399;Sem Vítimas
281400;Sem Vítimas
281401;Com Vítimas Feridas
281403;Com Vítimas Feridas
281404;Com Vítimas Feridas
281405;Com Vítimas Feridas
281406;Com Vítimas Feridas
281407;Com Vítimas Feridas
281408;Com Vítimas Fatais
281409;Com Vítimas Feridas
281410;Com Vítimas Feridas
281411;Com Vítimas Feridas
281412;Sem Vítimas
281413;Com Vítimas Feridas
281415;Com Vítimas Fatais
281416;Com Vítimas Feridas
281417;Sem Vítimas
281419;Sem Vítimas
281421;Com Vítimas Feridas
281423;Com Vítimas Feridas
281424;Com Vítimas Feridas
281425;Com Vítimas Feridas
281426;Com Vítimas Fatais
281427;Com Vítimas Feridas
281428;Com Vítimas Feridas
281429;Com Vítimas Feridas
281430;Com Vítimas Fatais
281431;Com Vítimas Feridas
281432;Com Vítimas Feridas
281433;Com Vítimas Feridas
281434;Com Vítimas Feridas
281435;Com Vítimas Feridas
281436;Com Vítimas Feridas
281437;Sem Vítimas
281438;Com Vítimas Feridas
281439;Com Vítimas Feridas
281440;Com Vítimas Fatais
281441;Com Vítimas Feridas
281442;Sem Vítimas
281443;Sem Vítimas
281445;Com Vítimas Feridas
281447;Com Vítimas Fatais
281448;Com Vítimas Feridas
281449;Com Vítimas Feridas
281450;Com Vítimas Feridas
281451;Com Vítimas Feridas
281452;Com Vítimas Feridas
281453;Com Vítimas Feridas
281454;Com Vítimas Feridas
281455;Com Vítimas Feridas
281458;Com Vítimas Feridas
281459;Com Vítimas Feridas
281460;Com Vítimas Feridas
281461;Sem Vítimas
281462;Com Vítimas Feridas
281463;Com Vítimas Feridas
281464;Com Vítimas Feridas
281465;Com Vítimas Feridas
281466;Com Vítimas Feridas
281467;Com Vítimas Fatais
281468;Com Vítimas Feridas
281470;Com Vítimas Feridas
281471;Com Vítimas Feridas
281472;Com Vítimas Feridas
