f_acidente;d_dataacidente
333001;07/01/2021
333002;07/01/2021
333003;07/01/2021
333004;07/01/2021
333006;07/01/2021
333007;07/01/2021
333008;07/01/2021
333009;07/01/2021
333010;07/01/2021
333011;07/01/2021
333012;07/01/2021
333013;07/01/2021
333014;07/01/2021
333015;07/01/2021
333016;07/01/2021
333017;07/01/2021
333018;07/01/2021
333019;07/01/2021
333020;07/01/2021
333021;07/01/2021
333022;07/01/2021
333023;07/01/2021
333024;07/01/2021
333025;07/01/2021
333026;07/01/2021
333027;07/01/2021
333028;07/01/2021
333029;07/01/2021
333031;07/01/2021
333032;07/01/2021
333033;08/01/2021
333034;07/01/2021
333035;08/01/2021
333037;07/01/2021
333038;08/01/2021
333039;07/01/2021
333041;08/01/2021
333042;08/01/2021
333043;08/01/2021
333044;08/01/2021
333045;07/01/2021
333046;08/01/2021
333048;08/01/2021
333049;08/01/2021
333053;07/01/2021
333054;08/01/2021
333055;08/01/2021
333056;08/01/2021
333057;08/01/2021
333058;08/01/2021
333059;08/01/2021
333060;08/01/2021
333062;08/01/2021
333063;08/01/2021
333064;08/01/2021
333065;08/01/2021
333066;08/01/2021
333067;08/01/2021
333069;08/01/2021
333073;08/01/2021
333074;08/01/2021
333076;08/01/2021
333077;08/01/2021
333079;08/01/2021
333080;08/01/2021
333081;08/01/2021
333082;08/01/2021
333083;08/01/2021
333085;08/01/2021
333086;08/01/2021
333088;08/01/2021
333089;08/01/2021
333090;08/01/2021
333091;08/01/2021
333094;08/01/2021
333095;08/01/2021
333096;08/01/2021
333097;08/01/2021
333099;08/01/2021
333100;08/01/2021
333101;08/01/2021
333102;08/01/2021
333104;08/01/2021
333106;08/01/2021
333107;08/01/2021
333108;08/01/2021
333109;08/01/2021
333110;08/01/2021
333111;08/01/2021
333112;08/01/2021
333113;08/01/2021
333114;08/01/2021
333115;08/01/2021
333116;08/01/2021
333118;08/01/2021
333120;08/01/2021
333121;08/01/2021
333122;08/01/2021
333123;08/01/2021
333124;07/01/2021
333126;08/01/2021
333129;08/01/2021
333130;08/01/2021
