f_acidente;d_tipopista
332677;Dupla
332678;Simples
332679;Simples
332680;Múltipla
332682;Dupla
332683;Simples
332684;Dupla
332685;Simples
332686;Dupla
332687;Dupla
332688;Dupla
332689;Simples
332690;Simples
332691;Dupla
332692;Dupla
332693;Simples
332694;Simples
332695;Dupla
332696;Dupla
332697;Dupla
332699;Múltipla
332700;Simples
332701;Simples
332703;Dupla
332704;Simples
332705;Simples
332706;Simples
332707;Simples
332708;Dupla
332710;Simples
332711;Simples
332716;Simples
332717;Dupla
332718;Dupla
332719;Dupla
332720;Dupla
332721;Múltipla
332722;Simples
332723;Simples
332724;Simples
332725;Dupla
332726;Simples
332727;Dupla
332728;Simples
332729;Dupla
332730;Simples
332732;Dupla
332734;Simples
332735;Múltipla
332737;Simples
332738;Simples
332739;Dupla
332740;Simples
332741;Dupla
332742;Simples
332744;Simples
332746;Múltipla
332747;Simples
332748;Dupla
332749;Dupla
332750;Dupla
332751;Dupla
332752;Simples
332754;Dupla
332755;Simples
332756;Simples
332758;Dupla
332759;Dupla
332760;Simples
332762;Múltipla
332763;Simples
332765;Simples
332766;Dupla
332768;Dupla
332769;Simples
332770;Simples
332771;Dupla
332772;Simples
332773;Simples
332774;Múltipla
332775;Múltipla
332776;Simples
332777;Dupla
332778;Dupla
332779;Simples
332780;Simples
332782;Dupla
332783;Dupla
332785;Dupla
332786;Dupla
332787;Simples
332788;Simples
332789;Simples
332790;Simples
332791;Simples
332792;Dupla
332793;Dupla
332796;Dupla
332797;Simples
332798;Simples
332800;Simples
332801;Simples
332802;Múltipla
332803;Simples
332804;Dupla
332805;Dupla
332806;Simples
332807;Múltipla
332808;Simples
332810;Múltipla
332811;Simples
332812;Dupla
332813;Simples
332815;Simples
332816;Simples
332818;Simples
332819;Dupla
332820;Dupla
332821;Simples
332823;Simples
332824;Dupla
332825;Simples
332826;Simples
332827;Simples
332828;Simples
332829;Dupla
332830;Simples
332831;Dupla
332832;Múltipla
332833;Simples
332834;Simples
332836;Dupla
332838;Dupla
332839;Dupla
332840;Simples
332841;Dupla
332842;Dupla
332843;Dupla
332844;Dupla
332846;Dupla
332847;Simples
332848;Simples
332849;Simples
332851;Simples
332852;Simples
332853;Dupla
332854;Dupla
332855;Simples
332856;Simples
332857;Múltipla
332858;Simples
332859;Dupla
332860;Dupla
332861;Dupla
332862;Dupla
332863;Dupla
332864;Dupla
332866;Simples
332867;Múltipla
332868;Dupla
332869;Simples
332870;Simples
332871;Simples
332872;Dupla
332873;Simples
332874;Múltipla
332875;Simples
332876;Dupla
332877;Dupla
332878;Dupla
332879;Simples
332880;Dupla
332881;Múltipla
332883;Dupla
332885;Dupla
332887;Simples
332888;Simples
332889;Dupla
332890;Simples
332891;Simples
332892;Dupla
332893;Dupla
332894;Simples
332895;Simples
332896;Dupla
332900;Dupla
332902;Simples
332905;Simples
332906;Simples
332908;Simples
332909;Simples
332911;Múltipla
332914;Dupla
332916;Dupla
332917;Dupla
332918;Dupla
332919;Simples
332920;Simples
332921;Dupla
332922;Dupla
332923;Dupla
332924;Dupla
332925;Dupla
332927;Simples
332928;Simples
332929;Simples
332930;Dupla
332931;Dupla
332932;Simples
332933;Dupla
332934;Simples
332936;Simples
332937;Simples
332938;Simples
332939;Dupla
332940;Dupla
332941;Dupla
332942;Simples
332943;Múltipla
332946;Dupla
332949;Simples
332953;Dupla
332954;Simples
332955;Simples
332956;Dupla
332957;Múltipla
332958;Simples
332959;Simples
332960;Dupla
332963;Dupla
332964;Dupla
332965;Dupla
332966;Simples
332967;Simples
332968;Dupla
332969;Múltipla
332971;Simples
332972;Simples
332974;Dupla
332976;Dupla
332977;Dupla
332978;Simples
332980;Simples
332981;Simples
332984;Dupla
332985;Simples
332986;Dupla
332987;Dupla
332988;Dupla
332989;Múltipla
332990;Múltipla
332991;Múltipla
332992;Múltipla
332993;Simples
332994;Dupla
332995;Dupla
332996;Simples
332997;Dupla
332998;Simples
332999;Simples
333000;Simples
333001;Dupla
333002;Simples
333003;Dupla
333004;Dupla
333006;Simples
333007;Dupla
333008;Simples
333009;Dupla
333010;Dupla
333011;Dupla
333012;Simples
333013;Dupla
333014;Múltipla
333015;Dupla
333016;Múltipla
333017;Dupla
333018;Dupla
333019;Dupla
333020;Múltipla
333021;Simples
333022;Múltipla
333023;Múltipla
333024;Dupla
333025;Múltipla
333026;Simples
333027;Simples
333028;Simples
333029;Múltipla
333031;Simples
333032;Simples
333033;Dupla
333034;Simples
333035;Dupla
333037;Dupla
333038;Dupla
333039;Simples
333041;Simples
333042;Múltipla
333043;Dupla
333044;Simples
333045;Simples
333046;Múltipla
333048;Dupla
333049;Múltipla
333053;Simples
333054;Dupla
333055;Simples
333056;Simples
333057;Dupla
333058;Simples
333059;Simples
333060;Dupla
333062;Simples
333063;Dupla
333064;Simples
333065;Simples
333066;Simples
333067;Simples
333069;Simples
333073;Dupla
333074;Dupla
333076;Dupla
333077;Simples
333079;Múltipla
333080;Simples
333081;Simples
333082;Simples
333083;Múltipla
333085;Dupla
333086;Simples
333088;Simples
333089;Simples
333090;Simples
333091;Dupla
333094;Múltipla
333095;Simples
333096;Simples
333097;Simples
333099;Dupla
333100;Simples
333101;Dupla
333102;Dupla
333104;Múltipla
333106;Simples
333107;Dupla
333108;Dupla
333109;Múltipla
333110;Simples
333111;Simples
333112;Simples
333113;Simples
333114;Dupla
333115;Dupla
333116;Dupla
333118;Dupla
333120;Dupla
333121;Múltipla
333122;Múltipla
333123;Simples
333124;Dupla
333126;Simples
333129;Simples
333130;Simples
333131;Simples
333132;Simples
333133;Múltipla
333134;Simples
333136;Simples
333138;Simples
333139;Dupla
333140;Múltipla
333144;Dupla
333145;Dupla
333146;Dupla
333147;Simples
333148;Simples
333150;Dupla
333151;Dupla
333152;Simples
333153;Simples
333154;Simples
333155;Dupla
333156;Dupla
333157;Simples
333158;Simples
333159;Simples
333160;Simples
333161;Simples
333162;Dupla
333163;Dupla
333165;Simples
333166;Simples
333167;Simples
333168;Dupla
333169;Dupla
333170;Simples
333171;Simples
333172;Dupla
333173;Simples
333174;Dupla
333175;Dupla
333176;Múltipla
333177;Simples
333178;Simples
333179;Simples
333180;Dupla
333181;Simples
333182;Dupla
333183;Dupla
333184;Dupla
333185;Múltipla
333186;Dupla
333189;Dupla
333190;Simples
333191;Dupla
333193;Dupla
333194;Simples
333197;Dupla
333198;Simples
333199;Múltipla
333200;Simples
333201;Simples
333203;Dupla
333204;Dupla
333205;Dupla
333206;Simples
333207;Dupla
333208;Simples
333209;Dupla
333210;Simples
333211;Simples
333213;Simples
333214;Dupla
333215;Dupla
333217;Dupla
333218;Dupla
333220;Simples
333221;Simples
