f_acidente;d_horario
332506;19:30:00
332507;20:03:00
332508;21:30:00
332509;21:15:00
332511;22:40:00
332512;21:50:00
332513;22:45:00
332514;23:00:00
332515;23:00:00
332516;18:51:00
332517;21:15:00
332518;00:00:00
332519;18:20:00
332521;23:20:00
332522;00:55:00
332523;17:30:00
332524;00:10:00
332526;22:00:00
332527;02:00:00
332528;19:25:00
332530;07:40:00
332531;06:00:00
332532;05:30:00
332534;05:40:00
332535;06:45:00
332536;12:40:00
332538;06:30:00
332539;05:30:00
332541;07:30:00
332543;08:15:00
332544;00:01:00
332546;06:40:00
332547;07:45:00
332548;08:30:00
332549;09:00:00
332550;08:00:00
332551;08:10:00
332552;07:30:00
332553;09:45:00
332555;09:00:00
332556;08:45:00
332558;09:40:00
332559;17:10:00
332560;10:00:00
332561;10:00:00
332562;09:20:00
332563;08:25:00
332564;09:00:00
332565;10:40:00
332566;09:30:00
332567;10:30:00
332568;10:00:00
332569;10:30:00
332570;10:20:00
332572;10:15:00
332573;11:00:00
332574;10:20:00
332575;11:00:00
332576;10:10:00
332580;11:00:00
332581;12:30:00
332582;12:37:00
332584;12:00:00
332585;11:45:00
332586;11:35:00
332587;13:10:00
332588;11:20:00
332589;13:30:00
332590;19:20:00
332591;10:19:00
332592;13:40:00
332593;10:30:00
332595;14:15:00
332597;13:00:00
332598;13:30:00
332601;12:00:00
332602;14:25:00
332604;14:35:00
332605;11:20:00
332606;15:00:00
332607;09:30:00
332608;15:00:00
332609;15:15:00
332610;15:00:00
332612;13:45:00
332613;15:20:00
332615;14:30:00
332616;14:10:00
332617;15:00:00
332618;14:42:00
332620;14:30:00
332621;16:10:00
332623;16:00:00
332624;15:40:00
332627;08:20:00
332629;17:15:00
332630;17:10:00
332631;17:50:00
332632;17:10:00
332634;16:40:00
332635;12:55:00
332636;17:50:00
332637;15:00:00
332638;09:45:00
332639;18:20:00
332640;18:40:00
332641;17:15:00
332642;11:25:00
332643;18:10:00
332644;18:45:00
332645;18:00:00
332646;18:40:00
332647;19:20:00
332648;19:00:00
332649;19:39:00
332651;16:40:00
332652;16:15:00
332653;17:20:00
332654;16:50:00
332655;19:21:00
332657;20:00:00
332658;18:55:00
332659;15:00:00
332661;10:30:00
332662;20:30:00
332663;18:40:00
332664;20:40:00
332665;16:10:00
332666;19:00:00
332668;21:40:00
332670;21:30:00
332671;18:50:00
332672;20:50:00
332673;20:00:00
332674;20:45:00
332676;16:50:00
332677;23:00:00
332678;20:30:00
332679;14:20:00
332680;21:30:00
332682;01:00:00
