f_acidente;d_fasedia
332424;Pleno dia
332425;Pleno dia
332426;Pleno dia
332427;Pleno dia
332428;Pleno dia
332429;Pleno dia
332430;Pleno dia
332431;Pleno dia
332432;Pleno dia
332433;Amanhecer
332434;Pleno dia
332435;Plena Noite
332436;Pleno dia
332437;Pleno dia
332438;Pleno dia
332439;Pleno dia
332440;Pleno dia
332442;Pleno dia
332443;Pleno dia
332446;Pleno dia
332447;Pleno dia
332449;Pleno dia
332450;Pleno dia
332451;Pleno dia
332452;Pleno dia
332453;Pleno dia
332454;Plena Noite
332455;Pleno dia
332457;Pleno dia
332458;Pleno dia
332459;Pleno dia
332461;Pleno dia
332463;Pleno dia
332464;Pleno dia
332465;Pleno dia
332466;Pleno dia
332467;Pleno dia
332468;Pleno dia
332469;Pleno dia
332470;Pleno dia
332471;Pleno dia
332472;Pleno dia
332473;Pleno dia
332474;Pleno dia
332475;Pleno dia
332476;Pleno dia
332477;Pleno dia
332479;Pleno dia
332480;Pleno dia
332481;Pleno dia
332482;Pleno dia
332483;Pleno dia
332484;Anoitecer
332485;Anoitecer
332486;Pleno dia
332488;Plena Noite
332490;Pleno dia
332492;Anoitecer
332495;Pleno dia
332496;Plena Noite
332497;Pleno dia
332498;Plena Noite
332499;Pleno dia
332500;Pleno dia
332501;Pleno dia
332502;Plena Noite
332503;Plena Noite
332504;Plena Noite
332505;Anoitecer
332506;Anoitecer
332507;Plena Noite
332508;Plena Noite
332509;Plena Noite
332511;Plena Noite
332512;Plena Noite
332513;Plena Noite
332514;Plena Noite
332515;Plena Noite
332516;Plena Noite
332517;Plena Noite
332518;Plena Noite
332519;Pleno dia
332521;Plena Noite
332522;Plena Noite
332523;Anoitecer
332524;Plena Noite
332526;Plena Noite
332527;Plena Noite
332528;Anoitecer
332530;Pleno dia
332531;Amanhecer
332532;Amanhecer
332534;Amanhecer
332535;Pleno dia
332536;Pleno dia
332538;Pleno dia
332539;Amanhecer
332541;Pleno dia
332543;Pleno dia
332544;Plena Noite
332546;Amanhecer
332547;Pleno dia
332548;Pleno dia
332549;Pleno dia
332550;Pleno dia
332551;Pleno dia
332552;Pleno dia
332553;Pleno dia
332555;Pleno dia
332556;Pleno dia
332558;Pleno dia
332559;Anoitecer
332560;Pleno dia
332561;Pleno dia
332562;Pleno dia
332563;Pleno dia
332564;Pleno dia
332565;Pleno dia
332566;Pleno dia
332567;Pleno dia
332568;Pleno dia
332569;Pleno dia
332570;Plena Noite
332572;Pleno dia
332573;Pleno dia
332574;Pleno dia
332575;Pleno dia
332576;Pleno dia
332580;Pleno dia
332581;Pleno dia
332582;Pleno dia
332584;Pleno dia
332585;Pleno dia
332586;Pleno dia
332587;Pleno dia
332588;Pleno dia
332589;Pleno dia
332590;Plena Noite
332591;Pleno dia
332592;Pleno dia
332593;Pleno dia
332595;Pleno dia
332597;Pleno dia
332598;Pleno dia
332601;Pleno dia
332602;Pleno dia
332604;Pleno dia
332605;Pleno dia
332606;Pleno dia
332607;Pleno dia
332608;Pleno dia
332609;Pleno dia
332610;Pleno dia
332612;Pleno dia
332613;Pleno dia
332615;Pleno dia
332616;Pleno dia
332617;Pleno dia
332618;Pleno dia
332620;Pleno dia
332621;Pleno dia
332623;Pleno dia
332624;Anoitecer
332627;Pleno dia
332629;Anoitecer
332630;Pleno dia
332631;Pleno dia
332632;Pleno dia
332634;Pleno dia
332635;Pleno dia
332636;Pleno dia
332637;Pleno dia
332638;Pleno dia
332639;Anoitecer
332640;Plena Noite
332641;Pleno dia
332642;Pleno dia
332643;Plena Noite
332644;Anoitecer
332645;Anoitecer
332646;Plena Noite
332647;Plena Noite
332648;Plena Noite
332649;Plena Noite
332651;Pleno dia
332652;Pleno dia
332653;Pleno dia
332654;Pleno dia
332655;Plena Noite
332657;Anoitecer
332658;Plena Noite
332659;Pleno dia
332661;Pleno dia
332662;Plena Noite
332663;Anoitecer
332664;Plena Noite
332665;Pleno dia
332666;Plena Noite
332668;Plena Noite
332670;Plena Noite
332671;Plena Noite
332672;Plena Noite
332673;Plena Noite
332674;Plena Noite
332676;Pleno dia
332677;Plena Noite
332678;Plena Noite
332679;Pleno dia
332680;Plena Noite
332682;Plena Noite
332683;Plena Noite
332684;Plena Noite
332685;Plena Noite
332686;Plena Noite
332687;Plena Noite
332688;Plena Noite
332689;Plena Noite
332690;Plena Noite
332691;Plena Noite
332692;Amanhecer
332693;Pleno dia
332694;Amanhecer
332695;Pleno dia
332696;Pleno dia
332697;Plena Noite
332699;Pleno dia
332700;Amanhecer
332701;Pleno dia
332703;Pleno dia
332704;Pleno dia
332705;Amanhecer
332706;Plena Noite
332707;Pleno dia
332708;Pleno dia
332710;Pleno dia
332711;Pleno dia
332716;Pleno dia
332717;Pleno dia
332718;Pleno dia
332719;Pleno dia
332720;Pleno dia
332721;Pleno dia
332722;Pleno dia
332723;Pleno dia
332724;Pleno dia
332725;Pleno dia
332726;Pleno dia
332727;Pleno dia
332728;Pleno dia
332729;Pleno dia
332730;Pleno dia
332732;Pleno dia
332734;Pleno dia
332735;Pleno dia
332737;Pleno dia
332738;Pleno dia
332739;Pleno dia
332740;Pleno dia
332741;Pleno dia
332742;Pleno dia
332744;Pleno dia
332746;Pleno dia
332747;Pleno dia
332748;Pleno dia
332749;Pleno dia
332750;Pleno dia
332751;Pleno dia
332752;Pleno dia
332754;Pleno dia
332755;Pleno dia
332756;Pleno dia
332758;Pleno dia
332759;Pleno dia
332760;Pleno dia
332762;Pleno dia
332763;Pleno dia
332765;Pleno dia
332766;Pleno dia
332768;Pleno dia
332769;Pleno dia
332770;Pleno dia
332771;Pleno dia
332772;Pleno dia
332773;Pleno dia
332774;Pleno dia
332775;Pleno dia
332776;Pleno dia
332777;Pleno dia
332778;Pleno dia
332779;Pleno dia
332780;Pleno dia
332782;Pleno dia
332783;Pleno dia
332785;Pleno dia
332786;Pleno dia
332787;Pleno dia
332788;Pleno dia
332789;Pleno dia
332790;Pleno dia
332791;Pleno dia
332792;Pleno dia
332793;Pleno dia
332796;Pleno dia
332797;Pleno dia
332798;Pleno dia
332800;Pleno dia
332801;Pleno dia
332802;Anoitecer
332803;Pleno dia
332804;Pleno dia
332805;Anoitecer
332806;Pleno dia
332807;Pleno dia
332808;Pleno dia
332810;Anoitecer
332811;Pleno dia
332812;Plena Noite
332813;Pleno dia
332815;Pleno dia
332816;Pleno dia
332818;Plena Noite
332819;Plena Noite
332820;Plena Noite
332821;Plena Noite
332823;Plena Noite
332824;Plena Noite
332825;Plena Noite
332826;Plena Noite
332827;Pleno dia
332828;Plena Noite
332829;Pleno dia
332830;Plena Noite
332831;Plena Noite
332832;Plena Noite
332833;Pleno dia
332834;Pleno dia
332836;Plena Noite
332838;Plena Noite
332839;Plena Noite
332840;Plena Noite
332841;Anoitecer
332842;Pleno dia
332843;Plena Noite
332844;Plena Noite
332846;Plena Noite
332847;Plena Noite
332848;Plena Noite
332849;Plena Noite
332851;Pleno dia
332852;Plena Noite
332853;Plena Noite
332854;Plena Noite
332855;Plena Noite
332856;Plena Noite
332857;Plena Noite
